"subjID","cond1","cond2","choice","absOut","rltOut"
213,1,1,1,1,1
213,3,3,2,0,1
213,4,4,1,-0.1,0
213,1,1,1,0,0
213,2,2,1,0,0
213,3,3,2,-1,0
213,1,1,1,0,0
213,2,2,2,0.1,1
213,4,4,2,-0.1,0
213,4,4,2,0,1
213,2,2,1,0,0
213,1,1,1,0,0
213,3,3,1,-1,0
213,2,2,2,0,0
213,4,4,1,-0.1,0
213,3,3,1,0,1
213,4,4,2,0,1
213,1,1,2,1,1
213,2,2,1,0,0
213,1,1,2,1,1
213,1,1,2,0,0
213,4,4,1,-0.1,0
213,4,4,2,0,1
213,2,2,2,0.1,1
213,4,4,1,0,1
213,3,3,1,0,1
213,3,3,1,-1,0
213,3,3,2,0,1
213,1,1,1,0,0
213,3,3,2,-1,0
213,2,2,2,0.1,1
213,2,2,1,0,0
213,4,4,1,-0.1,0
213,1,1,1,1,1
213,4,4,2,0,1
213,1,1,2,0,0
213,4,4,1,-0.1,0
213,2,2,1,0,0
213,3,3,1,0,1
213,2,2,1,0,0
213,3,3,2,0,1
213,2,2,1,0,0
213,2,2,2,0,0
213,1,1,1,0,0
213,3,3,2,0,1
213,1,1,1,0,0
213,4,4,1,-0.1,0
213,3,3,2,0,1
213,3,3,2,0,1
213,2,2,1,0.1,1
213,2,2,1,0,0
213,1,1,1,1,1
213,4,4,1,-0.1,0
213,4,4,2,-0.1,0
213,3,3,2,-1,0
213,2,2,1,0,0
213,4,4,1,-0.1,0
213,4,4,2,0,1
213,3,3,1,0,1
213,2,2,1,0,0
213,1,1,1,0,0
213,1,1,1,0,0
213,1,1,2,0,0
213,3,3,1,-1,0
213,1,1,2,0,0
213,4,4,2,0,1
213,3,3,1,-1,0
213,2,2,1,0,0
213,3,3,2,-1,0
213,4,4,1,-0.1,0
213,4,4,1,-0.1,0
213,3,3,1,-1,0
213,1,1,1,0,0
213,3,3,1,-1,0
213,2,2,2,0.1,1
213,1,1,1,1,1
213,4,4,1,-0.1,0
213,2,2,2,0.1,1
213,2,2,1,0,0
213,1,1,1,0,0
213,6,2,1,0,0
213,6,2,2,0.1,1
213,5,1,2,1,1
213,6,2,2,0.1,1
213,8,4,1,-0.1,0
213,5,1,1,0,0
213,5,1,2,0,0
213,5,1,1,0,0
213,7,3,1,-1,0
213,7,3,1,-1,0
213,8,4,1,-0.1,0
213,7,3,2,-1,0
213,6,2,2,0,0
213,8,4,2,0,1
213,8,4,2,0,1
213,7,3,1,-1,0
213,5,1,2,1,1
213,8,4,2,0,1
213,7,3,2,0,1
213,7,3,2,0,1
213,6,2,2,0.1,1
213,5,1,2,0,0
213,6,2,2,0.1,1
213,5,1,2,1,1
213,8,4,2,-0.1,0
213,6,2,1,0.1,1
213,5,1,2,1,1
213,8,4,2,0,1
213,7,3,1,-1,0
213,8,4,2,0,1
213,6,2,2,0.1,1
213,7,3,2,0,1
213,5,1,2,1,1
213,7,3,2,-1,0
213,7,3,2,0,1
213,5,1,2,1,1
213,6,2,2,0.1,1
213,8,4,2,0,1
213,7,3,2,0,1
213,8,4,2,0,1
213,7,3,2,0,1
213,6,2,2,0.1,1
213,6,2,2,0,0
213,8,4,2,-0.1,0
213,5,1,1,0,0
213,8,4,2,0,1
213,6,2,2,0.1,1
213,5,1,2,1,1
213,6,2,2,0.1,1
213,7,3,2,0,1
213,8,4,2,-0.1,0
213,6,2,2,0.1,1
213,5,1,2,1,1
213,5,1,2,1,1
213,8,4,2,0,1
213,6,2,2,0.1,1
213,6,2,2,0,0
213,8,4,2,0,1
213,7,3,2,-1,0
213,5,1,2,1,1
213,8,4,2,0,1
213,7,3,2,0,1
213,7,3,2,0,1
213,5,1,2,0,0
213,6,2,2,0.1,1
213,8,4,2,0,1
213,5,1,1,1,1
213,7,3,2,0,1
213,8,4,2,0,1
213,7,3,2,0,1
213,8,4,2,-0.1,0
213,6,2,2,0.1,1
213,7,3,2,-1,0
213,6,2,2,0,0
213,8,4,2,0,1
213,6,2,1,0,0
213,5,1,1,0,0
213,5,1,2,0,0
213,5,1,1,0,0
213,7,3,2,0,1
