"subjID","cond1","cond2","choice","absOut","rltOut"
215,4,4,1,-0.1,0
215,1,1,2,1,1
215,2,2,1,0,0
215,2,2,2,0.1,1
215,1,1,2,1,1
215,3,3,1,0,1
215,3,3,2,0,1
215,1,1,2,1,1
215,4,4,1,-0.1,0
215,1,1,2,0,0
215,2,2,1,0,0
215,2,2,1,0,0
215,3,3,2,0,1
215,3,3,2,-1,0
215,4,4,2,-0.1,0
215,4,4,2,0,1
215,2,2,1,0,0
215,4,4,1,0,1
215,1,1,2,0,0
215,4,4,2,-0.1,0
215,3,3,1,-1,0
215,4,4,1,-0.1,0
215,4,4,1,-0.1,0
215,3,3,1,-1,0
215,1,1,2,1,1
215,2,2,1,0,0
215,1,1,2,1,1
215,1,1,2,1,1
215,3,3,2,0,1
215,2,2,1,0,0
215,3,3,2,0,1
215,2,2,1,0.1,1
215,2,2,1,0,0
215,3,3,2,0,1
215,1,1,2,1,1
215,1,1,2,1,1
215,4,4,1,-0.1,0
215,4,4,1,-0.1,0
215,1,1,2,0,0
215,3,3,2,0,1
215,1,1,2,1,1
215,4,4,1,0,1
215,2,2,1,0,0
215,3,3,2,-1,0
215,2,2,1,0.1,1
215,3,3,2,0,1
215,2,2,1,0,0
215,4,4,1,-0.1,0
215,4,4,1,-0.1,0
215,2,2,1,0.1,1
215,1,1,2,1,1
215,2,2,1,0,0
215,1,1,2,0,0
215,2,2,1,0,0
215,4,4,1,0,1
215,4,4,1,-0.1,0
215,1,1,2,1,1
215,4,4,1,-0.1,0
215,3,3,2,0,1
215,1,1,2,1,1
215,2,2,1,0,0
215,3,3,2,-1,0
215,3,3,1,-1,0
215,3,3,2,0,1
215,1,1,2,0,0
215,2,2,1,0.1,1
215,1,1,2,1,1
215,4,4,1,-0.1,0
215,3,3,2,0,1
215,2,2,1,0,0
215,3,3,2,0,1
215,3,3,2,-1,0
215,1,1,2,1,1
215,1,1,2,1,1
215,4,4,2,0,1
215,3,3,2,0,1
215,4,4,2,-0.1,0
215,4,4,2,0,1
215,2,2,1,0,0
215,2,2,1,0,0
215,6,2,2,0.1,1
215,6,2,2,0,0
215,6,2,2,0.1,1
215,7,3,1,0,1
215,7,3,2,0,1
215,5,1,2,1,1
215,8,4,2,-0.1,0
215,7,3,1,-1,0
215,7,3,2,0,1
215,8,4,2,0,1
215,5,1,2,1,1
215,8,4,2,0,1
215,6,2,2,0.1,1
215,5,1,2,0,0
215,8,4,2,0,1
215,5,1,2,1,1
215,8,4,2,-0.1,0
215,8,4,2,0,1
215,8,4,2,0,1
215,6,2,2,0.1,1
215,5,1,2,1,1
215,5,1,2,1,1
215,7,3,2,0,1
215,5,1,2,1,1
215,8,4,2,0,1
215,7,3,2,0,1
215,5,1,2,0,0
215,6,2,2,0.1,1
215,7,3,2,-1,0
215,6,2,2,0,0
215,7,3,2,0,1
215,6,2,2,0.1,1
215,8,4,2,0,1
215,6,2,2,0.1,1
215,8,4,2,-0.1,0
215,6,2,2,0,0
215,6,2,2,0.1,1
215,8,4,2,0,1
215,8,4,2,0,1
215,5,1,2,1,1
215,7,3,2,0,1
215,7,3,2,0,1
215,6,2,2,0.1,1
215,7,3,2,0,1
215,5,1,2,1,1
215,5,1,2,0,0
215,5,1,2,1,1
215,7,3,2,-1,0
215,5,1,2,1,1
215,7,3,2,-1,0
215,6,2,2,0.1,1
215,5,1,2,0,0
215,8,4,2,0,1
215,6,2,2,0,0
215,8,4,2,0,1
215,5,1,2,1,1
215,8,4,2,0,1
215,6,2,2,0.1,1
215,5,1,2,1,1
215,7,3,2,0,1
215,6,2,2,0.1,1
215,7,3,2,0,1
215,8,4,2,-0.1,0
215,7,3,2,0,1
215,8,4,2,0,1
215,5,1,2,0,0
215,5,1,2,1,1
215,8,4,2,0,1
215,6,2,2,0,0
215,7,3,2,-1,0
215,6,2,2,0.1,1
215,8,4,2,0,1
215,6,2,2,0.1,1
215,5,1,2,1,1
215,8,4,2,-0.1,0
215,5,1,2,1,1
215,7,3,2,0,1
215,7,3,2,0,1
215,6,2,2,0.1,1
215,7,3,2,0,1
