"subjID","cond1","cond2","choice","absOut","rltOut"
214,2,2,2,0.1,1
214,4,4,1,-0.1,0
214,3,3,2,0,1
214,2,2,2,0.1,1
214,1,1,1,0,0
214,3,3,1,-1,0
214,2,2,2,0,0
214,3,3,2,0,1
214,2,2,2,0.1,1
214,1,1,2,1,1
214,4,4,1,-0.1,0
214,1,1,1,0,0
214,4,4,1,-0.1,0
214,4,4,2,0,1
214,1,1,1,1,1
214,3,3,2,0,1
214,2,2,2,0.1,1
214,4,4,2,-0.1,0
214,3,3,2,0,1
214,1,1,1,0,0
214,1,1,1,1,1
214,4,4,1,-0.1,0
214,2,2,2,0.1,1
214,2,2,2,0.1,1
214,1,1,1,0,0
214,3,3,1,-1,0
214,4,4,2,0,1
214,3,3,2,-1,0
214,4,4,2,0,1
214,2,2,2,0,0
214,1,1,1,0,0
214,3,3,2,0,1
214,3,3,2,0,1
214,2,2,2,0.1,1
214,4,4,2,0,1
214,2,2,2,0.1,1
214,4,4,2,0,1
214,1,1,1,1,1
214,4,4,2,-0.1,0
214,1,1,1,0,0
214,3,3,2,-1,0
214,3,3,2,0,1
214,3,3,2,0,1
214,4,4,2,0,1
214,1,1,1,0,0
214,1,1,1,0,0
214,2,2,2,0,0
214,2,2,2,0.1,1
214,2,2,2,0.1,1
214,2,2,2,0,0
214,3,3,2,-1,0
214,1,1,1,0,0
214,1,1,1,0,0
214,2,2,2,0.1,1
214,3,3,2,0,1
214,4,4,2,0,1
214,4,4,2,-0.1,0
214,3,3,2,0,1
214,4,4,1,-0.1,0
214,2,2,2,0.1,1
214,1,1,1,0,0
214,3,3,2,0,1
214,4,4,2,0,1
214,1,1,1,1,1
214,3,3,2,0,1
214,3,3,2,0,1
214,1,1,1,1,1
214,1,1,1,0,0
214,4,4,2,0,1
214,4,4,2,0,1
214,3,3,2,-1,0
214,2,2,2,0,0
214,2,2,1,0,0
214,4,4,2,0,1
214,4,4,2,-0.1,0
214,1,1,1,0,0
214,2,2,2,0.1,1
214,1,1,1,0,0
214,3,3,2,0,1
214,2,2,2,0.1,1
214,5,1,1,0,0
214,8,4,1,-0.1,0
214,8,4,1,-0.1,0
214,6,2,1,0,0
214,6,2,2,0.1,1
214,7,3,2,-1,0
214,7,3,2,0,1
214,7,3,1,0,1
214,5,1,2,1,1
214,5,1,2,1,1
214,8,4,1,0,1
214,5,1,2,1,1
214,6,2,2,0.1,1
214,7,3,2,0,1
214,8,4,1,-0.1,0
214,6,2,2,0.1,1
214,7,3,2,-1,0
214,8,4,2,0,1
214,6,2,2,0.1,1
214,7,3,1,-1,0
214,6,2,2,0,0
214,6,2,2,0.1,1
214,5,1,2,1,1
214,8,4,1,-0.1,0
214,5,1,2,1,1
214,7,3,2,0,1
214,5,1,2,0,0
214,8,4,1,0,1
214,8,4,1,-0.1,0
214,7,3,1,0,1
214,6,2,2,0.1,1
214,5,1,2,1,1
214,5,1,2,1,1
214,7,3,1,-1,0
214,5,1,2,1,1
214,6,2,2,0,0
214,6,2,2,0.1,1
214,7,3,2,0,1
214,8,4,2,0,1
214,5,1,2,0,0
214,8,4,2,-0.1,0
214,6,2,2,0.1,1
214,7,3,2,-1,0
214,8,4,2,0,1
214,5,1,2,1,1
214,8,4,1,0,1
214,6,2,2,0.1,1
214,7,3,1,-1,0
214,7,3,2,0,1
214,5,1,2,1,1
214,7,3,1,0,1
214,8,4,2,0,1
214,5,1,2,1,1
214,6,2,2,0.1,1
214,6,2,2,0,0
214,6,2,2,0.1,1
214,8,4,1,-0.1,0
214,7,3,2,-1,0
214,5,1,2,1,1
214,7,3,1,-1,0
214,8,4,1,0,1
214,5,1,2,0,0
214,6,2,2,0.1,1
214,8,4,2,0,1
214,7,3,1,0,1
214,8,4,2,0,1
214,7,3,1,-1,0
214,6,2,2,0.1,1
214,8,4,1,-0.1,0
214,6,2,2,0.1,1
214,7,3,2,0,1
214,6,2,2,0,0
214,5,1,2,0,0
214,8,4,2,-0.1,0
214,7,3,2,0,1
214,5,1,1,1,1
214,8,4,2,0,1
214,6,2,2,0.1,1
214,5,1,2,1,1
214,5,1,2,1,1
