"subjID","cond1","cond2","choice","absOut","rltOut"
201,3,3,1,-1,0
201,3,3,1,-1,0
201,2,2,1,0,0
201,3,3,2,0,1
201,2,2,2,0,0
201,4,4,1,-0.1,0
201,1,1,2,1,1
201,2,2,1,0.1,1
201,1,1,2,1,1
201,4,4,1,-0.1,0
201,4,4,2,0,1
201,2,2,2,0.1,1
201,3,3,1,-1,0
201,4,4,2,0,1
201,1,1,2,0,0
201,1,1,2,1,1
201,1,1,1,0,0
201,3,3,2,0,1
201,2,2,2,0.1,1
201,1,1,2,1,1
201,4,4,2,0,1
201,4,4,2,0,1
201,4,4,2,0,1
201,2,2,2,0.1,1
201,3,3,2,0,1
201,1,1,2,0,0
201,2,2,2,0,0
201,1,1,2,1,1
201,2,2,2,0.1,1
201,3,3,2,0,1
201,3,3,2,-1,0
201,4,4,2,-0.1,0
201,1,1,2,0,0
201,3,3,2,-1,0
201,2,2,1,0.1,1
201,4,4,1,-0.1,0
201,2,2,2,0.1,1
201,2,2,2,0.1,1
201,1,1,2,1,1
201,3,3,1,-1,0
201,4,4,2,0,1
201,4,4,2,0,1
201,1,1,2,1,1
201,3,3,2,0,1
201,3,3,2,0,1
201,4,4,2,0,1
201,2,2,2,0,0
201,1,1,2,1,1
201,3,3,1,-1,0
201,2,2,2,0.1,1
201,4,4,2,0,1
201,1,1,2,1,1
201,3,3,2,-1,0
201,1,1,2,1,1
201,1,1,2,0,0
201,1,1,2,1,1
201,3,3,1,0,1
201,2,2,2,0.1,1
201,4,4,1,-0.1,0
201,2,2,2,0,0
201,3,3,2,0,1
201,2,2,2,0.1,1
201,4,4,1,0,1
201,4,4,2,0,1
201,1,1,2,1,1
201,2,2,2,0.1,1
201,4,4,2,0,1
201,4,4,1,-0.1,0
201,3,3,1,-1,0
201,4,4,2,-0.1,0
201,2,2,2,0.1,1
201,3,3,2,0,1
201,1,1,2,0,0
201,1,1,2,1,1
201,3,3,1,0,1
201,2,2,2,0.1,1
201,3,3,1,-1,0
201,1,1,2,1,1
201,2,2,2,0,0
201,4,4,2,0,1
201,8,4,2,0,1
201,5,1,1,0,0
201,7,3,1,-1,0
201,6,2,2,0.1,1
201,8,4,1,-0.1,0
201,5,1,2,1,1
201,6,2,1,0,0
201,7,3,2,0,1
201,6,2,2,0.1,1
201,5,1,2,0,0
201,6,2,2,0,0
201,8,4,1,-0.1,0
201,7,3,2,0,1
201,7,3,2,0,1
201,8,4,2,0,1
201,5,1,2,1,1
201,8,4,2,-0.1,0
201,5,1,2,1,1
201,8,4,1,-0.1,0
201,5,1,2,1,1
201,6,2,2,0.1,1
201,5,1,2,1,1
201,6,2,2,0.1,1
201,6,2,2,0,0
201,8,4,1,-0.1,0
201,6,2,2,0.1,1
201,7,3,2,0,1
201,5,1,2,0,0
201,8,4,2,0,1
201,7,3,2,-1,0
201,7,3,2,0,1
201,7,3,1,-1,0
201,8,4,2,0,1
201,6,2,2,0,0
201,7,3,2,-1,0
201,5,1,2,1,1
201,5,1,2,0,0
201,7,3,1,0,1
201,7,3,1,-1,0
201,8,4,2,0,1
201,6,2,2,0.1,1
201,8,4,2,-0.1,0
201,6,2,2,0.1,1
201,7,3,2,0,1
201,5,1,2,1,1
201,8,4,2,0,1
201,6,2,2,0.1,1
201,5,1,2,1,1
201,5,1,2,1,1
201,6,2,2,0.1,1
201,5,1,2,0,0
201,6,2,2,0.1,1
201,7,3,1,-1,0
201,7,3,1,-1,0
201,8,4,2,0,1
201,8,4,2,0,1
201,6,2,2,0,0
201,8,4,2,-0.1,0
201,8,4,2,0,1
201,7,3,2,-1,0
201,6,2,2,0.1,1
201,7,3,2,0,1
201,5,1,2,1,1
201,5,1,2,1,1
201,8,4,2,-0.1,0
201,8,4,2,0,1
201,5,1,2,1,1
201,5,1,2,1,1
201,7,3,2,-1,0
201,5,1,2,0,0
201,6,2,2,0.1,1
201,6,2,2,0.1,1
201,5,1,2,1,1
201,7,3,2,0,1
201,8,4,1,-0.1,0
201,8,4,1,0,1
201,7,3,2,0,1
201,6,2,2,0,0
201,7,3,2,0,1
201,6,2,2,0.1,1
