"subjID","cond1","cond2","choice","absOut","rltOut"
203,2,2,1,0.1,1
203,4,4,1,-0.1,0
203,3,3,2,0,1
203,3,3,2,0,1
203,1,1,1,0,0
203,3,3,2,-1,0
203,2,2,1,0,0
203,1,1,1,0,0
203,4,4,2,0,1
203,4,4,2,0,1
203,3,3,2,0,1
203,1,1,2,1,1
203,4,4,2,0,1
203,2,2,1,0,0
203,1,1,1,0,0
203,2,2,2,0.1,1
203,4,4,2,0,1
203,1,1,1,0,0
203,2,2,2,0,0
203,4,4,2,0,1
203,3,3,1,-1,0
203,1,1,1,0,0
203,4,4,2,0,1
203,3,3,2,-1,0
203,1,1,1,1,1
203,4,4,2,-0.1,0
203,2,2,2,0.1,1
203,3,3,1,-1,0
203,3,3,1,-1,0
203,1,1,1,0,0
203,2,2,2,0.1,1
203,2,2,2,0.1,1
203,4,4,1,-0.1,0
203,2,2,2,0.1,1
203,2,2,2,0.1,1
203,1,1,1,0,0
203,4,4,2,-0.1,0
203,3,3,2,-1,0
203,3,3,1,-1,0
203,3,3,1,-1,0
203,2,2,2,0,0
203,3,3,1,0,1
203,4,4,2,0,1
203,2,2,2,0.1,1
203,1,1,1,0,0
203,1,1,1,0,0
203,1,1,1,0,0
203,4,4,2,0,1
203,3,3,1,-1,0
203,2,2,2,0.1,1
203,1,1,1,0,0
203,1,1,1,0,0
203,3,3,2,-1,0
203,2,2,2,0.1,1
203,4,4,2,-0.1,0
203,3,3,1,-1,0
203,4,4,2,0,1
203,3,3,1,0,1
203,4,4,2,0,1
203,1,1,1,0,0
203,1,1,1,1,1
203,2,2,2,0.1,1
203,4,4,2,0,1
203,2,2,2,0,0
203,2,2,2,0,0
203,1,1,1,0,0
203,3,3,2,0,1
203,3,3,1,-1,0
203,4,4,2,0,1
203,3,3,2,-1,0
203,1,1,1,0,0
203,4,4,2,0,1
203,1,1,1,0,0
203,1,1,1,1,1
203,4,4,2,0,1
203,2,2,2,0.1,1
203,4,4,2,-0.1,0
203,3,3,2,0,1
203,2,2,2,0.1,1
203,2,2,2,0.1,1
203,5,1,2,1,1
203,8,4,2,0,1
203,6,2,2,0,0
203,6,2,1,0,0
203,5,1,2,1,1
203,6,2,1,0,0
203,7,3,1,-1,0
203,6,2,2,0.1,1
203,8,4,2,-0.1,0
203,7,3,2,0,1
203,8,4,1,-0.1,0
203,7,3,2,0,1
203,7,3,2,0,1
203,5,1,2,0,0
203,5,1,2,1,1
203,8,4,1,-0.1,0
203,7,3,1,0,1
203,5,1,2,1,1
203,6,2,1,0.1,1
203,8,4,1,0,1
203,7,3,2,0,1
203,6,2,1,0,0
203,5,1,2,0,0
203,7,3,1,-1,0
203,6,2,1,0,0
203,5,1,2,1,1
203,6,2,1,0,0
203,8,4,1,-0.1,0
203,5,1,2,1,1
203,7,3,2,0,1
203,8,4,2,-0.1,0
203,8,4,1,-0.1,0
203,5,1,2,0,0
203,7,3,2,0,1
203,8,4,2,0,1
203,8,4,2,0,1
203,6,2,1,0,0
203,6,2,1,0.1,1
203,7,3,2,0,1
203,6,2,1,0,0
203,6,2,1,0,0
203,5,1,2,1,1
203,7,3,2,0,1
203,7,3,2,-1,0
203,5,1,2,1,1
203,8,4,2,-0.1,0
203,8,4,1,-0.1,0
203,5,1,2,1,1
203,6,2,1,0,0
203,8,4,1,-0.1,0
203,7,3,2,-1,0
203,5,1,2,1,1
203,5,1,2,1,1
203,6,2,1,0,0
203,8,4,1,0,1
203,8,4,1,-0.1,0
203,7,3,1,-1,0
203,5,1,2,1,1
203,6,2,1,0,0
203,5,1,2,0,0
203,7,3,2,0,1
203,7,3,2,0,1
203,6,2,1,0.1,1
203,8,4,2,0,1
203,6,2,1,0,0
203,8,4,2,0,1
203,6,2,1,0,0
203,5,1,2,1,1
203,6,2,1,0.1,1
203,7,3,2,0,1
203,8,4,2,0,1
203,6,2,1,0,0
203,7,3,2,0,1
203,7,3,2,-1,0
203,5,1,2,1,1
203,7,3,2,0,1
203,5,1,2,0,0
203,8,4,2,-0.1,0
203,5,1,2,1,1
203,8,4,2,0,1
