"subjID","cond1","cond2","choice","absOut","rltOut"
211,3,3,2,-1,0
211,4,4,1,-0.1,0
211,4,4,1,-0.1,0
211,2,2,2,0.1,1
211,2,2,1,0,0
211,2,2,2,0,0
211,1,1,2,0,0
211,1,1,2,1,1
211,3,3,1,0,1
211,2,2,1,0,0
211,1,1,2,1,1
211,1,1,2,1,1
211,3,3,2,0,1
211,4,4,1,0,1
211,4,4,1,-0.1,0
211,3,3,1,-1,0
211,2,2,2,0,0
211,2,2,1,0,0
211,4,4,1,0,1
211,2,2,1,0.1,1
211,4,4,1,-0.1,0
211,1,1,2,1,1
211,3,3,1,0,1
211,3,3,1,-1,0
211,4,4,1,-0.1,0
211,4,4,1,-0.1,0
211,3,3,2,-1,0
211,2,2,2,0.1,1
211,1,1,2,1,1
211,1,1,2,1,1
211,3,3,2,0,1
211,1,1,2,0,0
211,2,2,2,0.1,1
211,4,4,2,0,1
211,3,3,2,-1,0
211,1,1,2,1,1
211,4,4,1,-0.1,0
211,4,4,1,-0.1,0
211,2,2,1,0.1,1
211,2,2,2,0.1,1
211,2,2,1,0,0
211,3,3,1,0,1
211,1,1,2,1,1
211,1,1,2,0,0
211,3,3,1,-1,0
211,3,3,1,-1,0
211,1,1,2,1,1
211,4,4,1,0,1
211,1,1,2,1,1
211,1,1,2,1,1
211,2,2,1,0,0
211,3,3,1,-1,0
211,1,1,2,1,1
211,1,1,2,0,0
211,2,2,1,0.1,1
211,2,2,1,0,0
211,4,4,2,0,1
211,4,4,1,0,1
211,4,4,2,-0.1,0
211,3,3,2,0,1
211,3,3,1,-1,0
211,3,3,2,-1,0
211,2,2,2,0,0
211,4,4,1,-0.1,0
211,3,3,2,-1,0
211,2,2,2,0,0
211,3,3,1,-1,0
211,1,1,2,1,1
211,4,4,1,-0.1,0
211,3,3,1,-1,0
211,3,3,1,-1,0
211,2,2,1,0,0
211,4,4,2,0,1
211,2,2,1,0,0
211,4,4,1,-0.1,0
211,2,2,2,0.1,1
211,1,1,2,1,1
211,4,4,2,0,1
211,1,1,2,0,0
211,1,1,2,1,1
211,7,3,1,-1,0
211,8,4,1,-0.1,0
211,5,1,1,0,0
211,8,4,2,-0.1,0
211,6,2,2,0.1,1
211,7,3,2,0,1
211,8,4,2,0,1
211,6,2,1,0,0
211,7,3,2,0,1
211,8,4,1,-0.1,0
211,5,1,2,1,1
211,6,2,1,0,0
211,6,2,1,0,0
211,5,1,2,1,1
211,7,3,1,-1,0
211,5,1,1,0,0
211,8,4,2,0,1
211,6,2,2,0.1,1
211,8,4,1,-0.1,0
211,7,3,1,-1,0
211,7,3,2,0,1
211,5,1,2,1,1
211,5,1,2,1,1
211,5,1,2,1,1
211,6,2,1,0,0
211,8,4,1,-0.1,0
211,7,3,1,-1,0
211,6,2,1,0.1,1
211,6,2,1,0,0
211,7,3,2,0,1
211,8,4,2,0,1
211,5,1,1,0,0
211,7,3,2,-1,0
211,7,3,1,0,1
211,8,4,2,0,1
211,5,1,2,0,0
211,8,4,1,-0.1,0
211,7,3,2,0,1
211,8,4,2,0,1
211,7,3,2,0,1
211,5,1,1,0,0
211,6,2,1,0.1,1
211,6,2,1,0,0
211,6,2,1,0,0
211,6,2,1,0,0
211,5,1,2,1,1
211,8,4,1,-0.1,0
211,5,1,2,1,1
211,6,2,2,0.1,1
211,5,1,2,1,1
211,6,2,1,0,0
211,8,4,1,-0.1,0
211,5,1,2,1,1
211,8,4,1,0,1
211,6,2,2,0,0
211,8,4,1,-0.1,0
211,8,4,1,-0.1,0
211,5,1,2,0,0
211,6,2,2,0.1,1
211,7,3,2,0,1
211,7,3,2,0,1
211,5,1,2,1,1
211,7,3,2,-1,0
211,7,3,2,0,1
211,8,4,2,0,1
211,5,1,2,0,0
211,5,1,2,1,1
211,8,4,1,-0.1,0
211,7,3,1,0,1
211,5,1,2,1,1
211,6,2,1,0,0
211,7,3,2,-1,0
211,6,2,2,0.1,1
211,5,1,2,1,1
211,8,4,2,0,1
211,7,3,1,-1,0
211,6,2,2,0.1,1
211,6,2,2,0.1,1
211,7,3,2,0,1
211,8,4,2,-0.1,0
