"subjID","cond1","cond2","choice","absOut","rltOut"
220,2,2,2,0,0
220,3,3,2,0,1
220,4,4,2,-0.1,0
220,4,4,1,-0.1,0
220,3,3,1,-1,0
220,4,4,1,0,1
220,4,4,2,0,1
220,2,2,2,0.1,1
220,3,3,2,0,1
220,1,1,2,1,1
220,3,3,2,-1,0
220,1,1,2,1,1
220,1,1,2,0,0
220,2,2,1,0.1,1
220,2,2,1,0,0
220,1,1,2,1,1
220,1,1,2,1,1
220,2,2,1,0.1,1
220,2,2,1,0,0
220,1,1,2,1,1
220,4,4,1,-0.1,0
220,1,1,2,0,0
220,4,4,1,0,1
220,3,3,2,0,1
220,4,4,1,-0.1,0
220,4,4,1,-0.1,0
220,3,3,2,0,1
220,3,3,2,-1,0
220,1,1,2,1,1
220,2,2,1,0,0
220,2,2,1,0,0
220,3,3,1,-1,0
220,1,1,2,1,1
220,1,1,2,1,1
220,2,2,2,0.1,1
220,4,4,2,0,1
220,4,4,2,0,1
220,3,3,2,0,1
220,1,1,2,1,1
220,2,2,2,0.1,1
220,3,3,2,-1,0
220,1,1,2,0,0
220,2,2,1,0.1,1
220,4,4,2,-0.1,0
220,3,3,2,0,1
220,3,3,2,0,1
220,2,2,1,0,0
220,4,4,2,0,1
220,1,1,2,1,1
220,1,1,2,1,1
220,3,3,2,0,1
220,2,2,1,0.1,1
220,1,1,2,0,0
220,3,3,2,-1,0
220,2,2,2,0,0
220,2,2,2,0.1,1
220,4,4,2,-0.1,0
220,3,3,2,0,1
220,3,3,2,0,1
220,4,4,2,0,1
220,4,4,2,0,1
220,1,1,2,1,1
220,2,2,1,0,0
220,4,4,2,0,1
220,2,2,2,0.1,1
220,3,3,2,-1,0
220,3,3,1,-1,0
220,2,2,1,0,0
220,2,2,2,0.1,1
220,1,1,2,1,1
220,3,3,2,0,1
220,4,4,2,-0.1,0
220,2,2,2,0,0
220,1,1,2,1,1
220,1,1,2,0,0
220,4,4,2,0,1
220,4,4,1,0,1
220,1,1,2,1,1
220,4,4,1,-0.1,0
220,3,3,2,0,1
220,5,1,1,0,0
220,8,4,2,-0.1,0
220,7,3,1,0,1
220,6,2,2,0.1,1
220,8,4,1,-0.1,0
220,6,2,1,0,0
220,6,2,2,0,0
220,5,1,1,0,0
220,8,4,1,-0.1,0
220,6,2,1,0,0
220,8,4,2,0,1
220,5,1,2,1,1
220,7,3,2,0,1
220,7,3,2,0,1
220,5,1,2,1,1
220,7,3,1,-1,0
220,8,4,2,0,1
220,5,1,2,0,0
220,5,1,2,1,1
220,8,4,2,0,1
220,8,4,1,0,1
220,6,2,1,0,0
220,6,2,1,0,0
220,7,3,2,0,1
220,7,3,2,0,1
220,5,1,2,1,1
220,6,2,2,0.1,1
220,8,4,2,-0.1,0
220,5,1,2,1,1
220,6,2,2,0.1,1
220,7,3,2,0,1
220,7,3,1,0,1
220,7,3,1,-1,0
220,6,2,1,0,0
220,6,2,2,0.1,1
220,7,3,1,0,1
220,5,1,2,0,0
220,8,4,2,-0.1,0
220,7,3,1,-1,0
220,8,4,2,0,1
220,8,4,2,0,1
220,5,1,2,1,1
220,8,4,2,0,1
220,6,2,2,0,0
220,7,3,2,0,1
220,5,1,2,1,1
220,6,2,2,0.1,1
220,5,1,2,1,1
220,8,4,2,0,1
220,8,4,2,0,1
220,6,2,2,0.1,1
220,7,3,2,0,1
220,8,4,2,0,1
220,5,1,2,1,1
220,6,2,2,0,0
220,7,3,2,0,1
220,6,2,2,0.1,1
220,6,2,2,0.1,1
220,7,3,2,0,1
220,5,1,2,0,0
220,8,4,2,-0.1,0
220,5,1,2,1,1
220,7,3,2,-1,0
220,5,1,2,1,1
220,6,2,2,0.1,1
220,5,1,2,1,1
220,7,3,2,0,1
220,5,1,2,1,1
220,5,1,2,0,0
220,8,4,2,0,1
220,8,4,2,0,1
220,8,4,2,0,1
220,5,1,2,1,1
220,8,4,2,-0.1,0
220,7,3,2,0,1
220,7,3,2,0,1
220,7,3,2,-1,0
220,6,2,2,0,0
220,6,2,2,0.1,1
220,6,2,2,0.1,1
