"subjID","cond1","cond2","choice","absOut","rltOut"
219,4,4,2,0,1
219,1,1,2,1,1
219,4,4,2,-0.1,0
219,4,4,1,-0.1,0
219,3,3,1,0,1
219,1,1,2,0,0
219,2,2,1,0,0
219,2,2,1,0.1,1
219,1,1,2,1,1
219,3,3,2,-1,0
219,3,3,1,-1,0
219,2,2,1,0,0
219,1,1,2,1,1
219,3,3,1,-1,0
219,4,4,2,0,1
219,2,2,1,0,0
219,1,1,2,0,0
219,4,4,2,0,1
219,1,1,2,1,1
219,4,4,2,0,1
219,4,4,2,0,1
219,3,3,1,-1,0
219,3,3,2,0,1
219,1,1,2,1,1
219,4,4,2,-0.1,0
219,1,1,2,1,1
219,3,3,2,0,1
219,2,2,1,0.1,1
219,3,3,2,-1,0
219,2,2,1,0,0
219,2,2,1,0,0
219,2,2,1,0,0
219,1,1,2,1,1
219,2,2,1,0,0
219,1,1,2,1,1
219,1,1,2,0,0
219,4,4,2,0,1
219,3,3,2,0,1
219,3,3,2,0,1
219,2,2,1,0,0
219,4,4,1,-0.1,0
219,2,2,1,0,0
219,2,2,1,0.1,1
219,1,1,2,1,1
219,3,3,2,0,1
219,4,4,2,0,1
219,3,3,2,-1,0
219,4,4,2,-0.1,0
219,2,2,1,0,0
219,2,2,1,0.1,1
219,3,3,2,0,1
219,1,1,2,1,1
219,4,4,2,0,1
219,4,4,2,0,1
219,3,3,2,0,1
219,2,2,1,0,0
219,3,3,2,0,1
219,1,1,2,1,1
219,1,1,2,0,0
219,1,1,2,1,1
219,4,4,2,-0.1,0
219,3,3,2,-1,0
219,4,4,2,0,1
219,2,2,2,0.1,1
219,1,1,2,1,1
219,4,4,2,-0.1,0
219,4,4,2,0,1
219,1,1,2,0,0
219,3,3,2,0,1
219,2,2,2,0.1,1
219,2,2,2,0.1,1
219,3,3,2,0,1
219,1,1,2,1,1
219,2,2,2,0,0
219,3,3,2,-1,0
219,4,4,2,0,1
219,2,2,2,0.1,1
219,1,1,2,1,1
219,3,3,2,0,1
219,4,4,2,0,1
219,6,2,1,0,0
219,5,1,1,0,0
219,5,1,2,1,1
219,7,3,1,-1,0
219,8,4,1,0,1
219,5,1,2,0,0
219,8,4,2,0,1
219,7,3,1,0,1
219,8,4,1,-0.1,0
219,6,2,2,0,0
219,5,1,2,1,1
219,6,2,1,0,0
219,6,2,1,0.1,1
219,8,4,1,-0.1,0
219,7,3,2,0,1
219,7,3,2,0,1
219,5,1,2,1,1
219,6,2,1,0,0
219,6,2,1,0,0
219,7,3,1,-1,0
219,6,2,1,0.1,1
219,7,3,2,0,1
219,6,2,1,0,0
219,8,4,2,0,1
219,7,3,2,0,1
219,7,3,2,-1,0
219,8,4,2,-0.1,0
219,8,4,1,-0.1,0
219,5,1,2,1,1
219,8,4,2,0,1
219,5,1,2,1,1
219,5,1,2,0,0
219,7,3,2,0,1
219,5,1,2,0,0
219,6,2,1,0,0
219,7,3,2,-1,0
219,7,3,2,0,1
219,8,4,2,0,1
219,6,2,2,0,0
219,5,1,2,1,1
219,6,2,1,0,0
219,8,4,2,0,1
219,6,2,1,0.1,1
219,8,4,2,-0.1,0
219,7,3,2,0,1
219,8,4,1,-0.1,0
219,5,1,2,1,1
219,5,1,2,1,1
219,8,4,2,0,1
219,7,3,2,0,1
219,6,2,1,0,0
219,8,4,2,0,1
219,5,1,2,1,1
219,6,2,1,0.1,1
219,5,1,2,1,1
219,5,1,2,1,1
219,7,3,2,-1,0
219,6,2,1,0,0
219,5,1,2,0,0
219,8,4,2,0,1
219,6,2,1,0,0
219,7,3,2,0,1
219,7,3,2,0,1
219,8,4,2,-0.1,0
219,8,4,2,0,1
219,6,2,1,0.1,1
219,5,1,2,1,1
219,7,3,2,-1,0
219,6,2,1,0,0
219,8,4,2,0,1
219,6,2,1,0,0
219,7,3,2,0,1
219,6,2,1,0,0
219,5,1,2,0,0
219,7,3,2,0,1
219,5,1,2,1,1
219,8,4,1,-0.1,0
219,8,4,2,-0.1,0
219,5,1,2,1,1
219,7,3,2,0,1
