"subjID","cond1","cond2","choice","absOut","rltOut"
216,4,4,2,-0.1,0
216,3,3,1,-1,0
216,4,4,1,-0.1,0
216,3,3,2,0,1
216,4,4,2,0,1
216,2,2,2,0.1,1
216,3,3,1,-1,0
216,2,2,1,0,0
216,1,1,1,0,0
216,1,1,1,1,1
216,1,1,1,0,0
216,2,2,2,0.1,1
216,2,2,2,0,0
216,3,3,1,-1,0
216,1,1,1,0,0
216,4,4,2,0,1
216,1,1,2,1,1
216,2,2,1,0,0
216,4,4,2,0,1
216,1,1,2,1,1
216,3,3,2,-1,0
216,4,4,2,-0.1,0
216,3,3,2,0,1
216,4,4,2,0,1
216,2,2,1,0,0
216,2,2,1,0.1,1
216,3,3,2,0,1
216,1,1,2,0,0
216,2,2,2,0.1,1
216,4,4,2,0,1
216,1,1,2,1,1
216,3,3,1,0,1
216,4,4,1,-0.1,0
216,3,3,1,-1,0
216,1,1,2,1,1
216,4,4,2,0,1
216,3,3,1,0,1
216,4,4,2,0,1
216,2,2,2,0.1,1
216,1,1,2,1,1
216,1,1,2,0,0
216,2,2,2,0.1,1
216,2,2,2,0.1,1
216,4,4,2,0,1
216,3,3,1,-1,0
216,1,1,2,1,1
216,2,2,2,0,0
216,3,3,1,-1,0
216,2,2,1,0,0
216,4,4,1,-0.1,0
216,1,1,2,1,1
216,4,4,2,0,1
216,2,2,1,0.1,1
216,3,3,1,-1,0
216,4,4,2,0,1
216,2,2,2,0.1,1
216,3,3,2,0,1
216,3,3,2,0,1
216,2,2,1,0,0
216,1,1,1,0,0
216,1,1,2,0,0
216,1,1,2,1,1
216,3,3,2,-1,0
216,4,4,2,-0.1,0
216,1,1,2,1,1
216,3,3,2,0,1
216,2,2,2,0.1,1
216,2,2,2,0.1,1
216,1,1,2,1,1
216,1,1,2,1,1
216,4,4,2,0,1
216,3,3,2,-1,0
216,2,2,2,0.1,1
216,2,2,2,0,0
216,4,4,2,0,1
216,4,4,2,0,1
216,3,3,1,0,1
216,4,4,1,-0.1,0
216,3,3,2,0,1
216,1,1,2,0,0
216,8,4,2,-0.1,0
216,7,3,1,-1,0
216,8,4,1,-0.1,0
216,7,3,2,0,1
216,8,4,2,0,1
216,6,2,2,0.1,1
216,7,3,1,-1,0
216,6,2,1,0,0
216,5,1,1,0,0
216,5,1,1,1,1
216,5,1,1,0,0
216,6,2,2,0.1,1
216,6,2,2,0,0
216,7,3,1,-1,0
216,5,1,1,0,0
216,8,4,2,0,1
216,5,1,2,1,1
216,6,2,1,0,0
216,8,4,2,0,1
216,5,1,2,1,1
216,7,3,2,-1,0
216,8,4,2,-0.1,0
216,7,3,2,0,1
216,8,4,2,0,1
216,6,2,1,0,0
216,6,2,1,0.1,1
216,7,3,2,0,1
216,5,1,2,0,0
216,6,2,2,0.1,1
216,8,4,2,0,1
216,5,1,2,1,1
216,7,3,1,0,1
216,8,4,1,-0.1,0
216,7,3,1,-1,0
216,5,1,2,1,1
216,8,4,2,0,1
216,7,3,1,0,1
216,8,4,2,0,1
216,6,2,2,0.1,1
216,5,1,2,1,1
216,5,1,2,0,0
216,6,2,2,0.1,1
216,6,2,2,0.1,1
216,8,4,2,0,1
216,7,3,1,-1,0
216,5,1,2,1,1
216,6,2,2,0,0
216,7,3,1,-1,0
216,6,2,1,0,0
216,8,4,1,-0.1,0
216,5,1,2,1,1
216,8,4,2,0,1
216,6,2,1,0.1,1
216,7,3,1,-1,0
216,8,4,2,0,1
216,6,2,2,0.1,1
216,7,3,2,0,1
216,7,3,2,0,1
216,6,2,1,0,0
216,5,1,1,0,0
216,5,1,2,0,0
216,5,1,2,1,1
216,7,3,2,-1,0
216,8,4,2,-0.1,0
216,5,1,2,1,1
216,7,3,2,0,1
216,6,2,2,0.1,1
216,6,2,2,0.1,1
216,5,1,2,1,1
216,5,1,2,1,1
216,8,4,2,0,1
216,7,3,2,-1,0
216,6,2,2,0.1,1
216,6,2,2,0,0
216,8,4,2,0,1
216,8,4,2,0,1
216,7,3,1,0,1
216,8,4,1,-0.1,0
216,7,3,2,0,1
216,5,1,2,0,0
