"subjID","cond1","cond2","choice","absOut","rltOut"
209,1,1,2,0,0
209,2,2,2,0.1,1
209,2,2,2,0.1,1
209,3,3,2,0,1
209,3,3,1,0,1
209,2,2,2,0,0
209,4,4,1,0,1
209,1,1,1,0,0
209,4,4,2,0,1
209,3,3,2,0,1
209,4,4,2,-0.1,0
209,4,4,1,-0.1,0
209,1,1,1,0,0
209,2,2,2,0.1,1
209,3,3,1,-1,0
209,1,1,2,1,1
209,3,3,2,0,1
209,4,4,2,0,1
209,4,4,2,-0.1,0
209,2,2,2,0,0
209,4,4,1,0,1
209,3,3,2,-1,0
209,1,1,2,0,0
209,4,4,2,0,1
209,3,3,2,0,1
209,1,1,2,1,1
209,2,2,2,0.1,1
209,1,1,2,1,1
209,2,2,2,0.1,1
209,1,1,2,1,1
209,3,3,2,0,1
209,2,2,2,0.1,1
209,2,2,1,0,0
209,4,4,2,-0.1,0
209,4,4,1,-0.1,0
209,4,4,1,-0.1,0
209,2,2,2,0.1,1
209,3,3,2,0,1
209,3,3,2,-1,0
209,1,1,2,1,1
209,3,3,1,0,1
209,1,1,2,0,0
209,3,3,1,-1,0
209,2,2,2,0,0
209,1,1,2,1,1
209,2,2,2,0.1,1
209,4,4,2,0,1
209,1,1,2,1,1
209,2,2,2,0.1,1
209,4,4,2,0,1
209,4,4,2,0,1
209,3,3,2,-1,0
209,3,3,1,0,1
209,1,1,2,1,1
209,2,2,2,0.1,1
209,1,1,2,1,1
209,1,1,2,0,0
209,4,4,2,0,1
209,2,2,2,0.1,1
209,3,3,1,-1,0
209,2,2,2,0,0
209,1,1,2,1,1
209,3,3,1,-1,0
209,4,4,1,0,1
209,3,3,2,0,1
209,1,1,2,1,1
209,4,4,1,-0.1,0
209,3,3,2,0,1
209,4,4,2,0,1
209,4,4,2,0,1
209,2,2,2,0,0
209,1,1,2,1,1
209,2,2,2,0.1,1
209,4,4,1,-0.1,0
209,2,2,2,0.1,1
209,1,1,2,0,0
209,2,2,2,0.1,1
209,1,1,2,1,1
209,3,3,1,-1,0
209,3,3,2,0,1
209,8,4,2,0,1
209,8,4,1,-0.1,0
209,6,2,1,0,0
209,7,3,1,-1,0
209,6,2,2,0,0
209,7,3,2,0,1
209,7,3,2,-1,0
209,5,1,1,1,1
209,8,4,1,-0.1,0
209,5,1,1,0,0
209,6,2,2,0.1,1
209,8,4,2,-0.1,0
209,7,3,2,0,1
209,5,1,1,0,0
209,6,2,2,0.1,1
209,5,1,1,0,0
209,7,3,2,0,1
209,8,4,2,0,1
209,7,3,2,0,1
209,6,2,2,0,0
209,5,1,1,0,0
209,7,3,2,0,1
209,5,1,1,0,0
209,7,3,2,-1,0
209,8,4,2,0,1
209,6,2,2,0.1,1
209,8,4,2,0,1
209,6,2,1,0,0
209,8,4,2,-0.1,0
209,5,1,1,0,0
209,6,2,2,0.1,1
209,5,1,1,1,1
209,5,1,1,0,0
209,8,4,1,-0.1,0
209,6,2,2,0.1,1
209,8,4,2,0,1
209,7,3,2,0,1
209,6,2,2,0.1,1
209,7,3,2,-1,0
209,8,4,2,-0.1,0
209,6,2,2,0.1,1
209,5,1,1,0,0
209,7,3,1,-1,0
209,5,1,1,1,1
209,7,3,2,0,1
209,8,4,2,0,1
209,6,2,2,0,0
209,5,1,1,0,0
209,6,2,2,0,0
209,5,1,1,1,1
209,6,2,2,0.1,1
209,7,3,2,0,1
209,8,4,2,0,1
209,7,3,2,0,1
209,8,4,2,-0.1,0
209,6,2,2,0.1,1
209,7,3,2,0,1
209,5,1,1,0,0
209,8,4,2,0,1
209,6,2,2,0.1,1
209,8,4,2,0,1
209,5,1,1,0,0
209,5,1,1,0,0
209,7,3,2,-1,0
209,8,4,2,0,1
209,5,1,1,1,1
209,5,1,1,0,0
209,6,2,2,0.1,1
209,8,4,2,-0.1,0
209,7,3,2,0,1
209,5,1,1,0,0
209,6,2,2,0,0
209,7,3,2,-1,0
209,7,3,1,-1,0
209,6,2,2,0.1,1
209,5,1,1,0,0
209,7,3,2,0,1
209,8,4,2,0,1
209,8,4,2,0,1
209,6,2,2,0.1,1
