"subjID","cond1","cond2","choice","absOut","rltOut"
202,1,1,1,0,0
202,2,2,1,0,0
202,4,4,1,-0.1,0
202,3,3,2,0,1
202,1,1,1,0,0
202,2,2,1,0,0
202,4,4,2,0,1
202,3,3,1,-1,0
202,1,1,2,1,1
202,1,1,1,0,0
202,4,4,2,-0.1,0
202,2,2,1,0,0
202,3,3,1,-1,0
202,2,2,2,0,0
202,3,3,1,-1,0
202,4,4,2,0,1
202,2,2,1,0.1,1
202,4,4,1,-0.1,0
202,3,3,2,0,1
202,1,1,2,1,1
202,4,4,1,-0.1,0
202,1,1,2,0,0
202,2,2,2,0.1,1
202,2,2,2,0,0
202,3,3,1,-1,0
202,3,3,2,-1,0
202,4,4,1,0,1
202,2,2,2,0.1,1
202,1,1,2,1,1
202,4,4,2,-0.1,0
202,3,3,2,0,1
202,1,1,2,1,1
202,1,1,2,1,1
202,2,2,2,0,0
202,2,2,2,0.1,1
202,2,2,2,0.1,1
202,1,1,2,1,1
202,1,1,2,1,1
202,4,4,2,-0.1,0
202,3,3,2,0,1
202,4,4,1,-0.1,0
202,4,4,1,-0.1,0
202,4,4,2,0,1
202,3,3,2,-1,0
202,3,3,2,0,1
202,1,1,2,0,0
202,3,3,2,0,1
202,2,2,2,0.1,1
202,3,3,2,-1,0
202,2,2,2,0,0
202,3,3,1,-1,0
202,2,2,2,0.1,1
202,4,4,1,-0.1,0
202,4,4,2,0,1
202,1,1,2,1,1
202,4,4,2,0,1
202,1,1,2,1,1
202,1,1,2,0,0
202,3,3,1,-1,0
202,2,2,2,0.1,1
202,3,3,2,0,1
202,4,4,2,0,1
202,1,1,2,1,1
202,2,2,2,0.1,1
202,3,3,1,-1,0
202,1,1,2,0,0
202,4,4,2,-0.1,0
202,4,4,2,0,1
202,2,2,2,0.1,1
202,4,4,2,0,1
202,1,1,2,1,1
202,2,2,2,0,0
202,3,3,1,-1,0
202,3,3,2,-1,0
202,1,1,2,1,1
202,1,1,2,1,1
202,2,2,2,0.1,1
202,3,3,2,0,1
202,4,4,2,0,1
202,2,2,2,0.1,1
202,8,4,1,0,1
202,7,3,1,-1,0
202,6,2,2,0.1,1
202,5,1,1,0,0
202,5,1,2,0,0
202,6,2,2,0.1,1
202,7,3,2,0,1
202,5,1,2,1,1
202,5,1,2,1,1
202,7,3,1,-1,0
202,8,4,2,-0.1,0
202,8,4,1,-0.1,0
202,6,2,1,0,0
202,7,3,1,-1,0
202,8,4,1,-0.1,0
202,6,2,2,0.1,1
202,8,4,2,-0.1,0
202,7,3,2,0,1
202,5,1,2,1,1
202,5,1,2,1,1
202,7,3,2,0,1
202,8,4,2,0,1
202,7,3,2,-1,0
202,8,4,2,0,1
202,5,1,2,1,1
202,6,2,2,0.1,1
202,8,4,2,0,1
202,6,2,2,0.1,1
202,5,1,2,0,0
202,7,3,1,-1,0
202,6,2,2,0.1,1
202,6,2,2,0,0
202,8,4,2,0,1
202,5,1,2,0,0
202,5,1,2,1,1
202,7,3,2,0,1
202,6,2,2,0.1,1
202,6,2,2,0.1,1
202,7,3,2,0,1
202,6,2,2,0.1,1
202,5,1,2,1,1
202,8,4,2,0,1
202,8,4,2,-0.1,0
202,8,4,2,0,1
202,5,1,2,1,1
202,6,2,2,0,0
202,7,3,2,-1,0
202,7,3,2,0,1
202,6,2,2,0.1,1
202,5,1,1,0,0
202,5,1,2,0,0
202,6,2,2,0,0
202,5,1,2,1,1
202,7,3,2,-1,0
202,6,2,2,0.1,1
202,7,3,1,-1,0
202,8,4,2,0,1
202,8,4,2,0,1
202,7,3,1,-1,0
202,8,4,2,0,1
202,7,3,2,0,1
202,8,4,2,-0.1,0
202,6,2,2,0.1,1
202,5,1,2,1,1
202,8,4,2,0,1
202,6,2,2,0,0
202,5,1,2,1,1
202,8,4,2,-0.1,0
202,8,4,2,0,1
202,7,3,2,-1,0
202,7,3,2,0,1
202,5,1,2,1,1
202,5,1,2,1,1
202,5,1,2,0,0
202,7,3,2,0,1
202,6,2,2,0.1,1
202,6,2,2,0.1,1
202,6,2,2,0.1,1
202,8,4,2,0,1
202,7,3,2,0,1
