"subjID","cond1","cond2","choice","absOut","rltOut"
208,4,4,1,-0.1,0
208,1,1,2,1,1
208,4,4,1,-0.1,0
208,2,2,1,0,0
208,4,4,1,-0.1,0
208,2,2,2,0,0
208,1,1,2,0,0
208,3,3,2,0,1
208,3,3,1,-1,0
208,2,2,2,0.1,1
208,2,2,2,0.1,1
208,1,1,2,1,1
208,4,4,2,0,1
208,3,3,1,0,1
208,3,3,1,-1,0
208,1,1,2,1,1
208,2,2,1,0,0
208,1,1,2,1,1
208,1,1,2,0,0
208,3,3,1,-1,0
208,4,4,1,-0.1,0
208,1,1,2,1,1
208,4,4,1,-0.1,0
208,3,3,2,0,1
208,3,3,2,0,1
208,4,4,1,0,1
208,4,4,1,-0.1,0
208,2,2,2,0,0
208,1,1,2,1,1
208,2,2,1,0,0
208,3,3,2,-1,0
208,2,2,1,0.1,1
208,1,1,2,1,1
208,3,3,2,0,1
208,4,4,1,-0.1,0
208,4,4,2,0,1
208,4,4,1,-0.1,0
208,2,2,1,0,0
208,2,2,1,0,0
208,1,1,2,1,1
208,2,2,1,0.1,1
208,3,3,1,-1,0
208,2,2,1,0,0
208,3,3,2,0,1
208,1,1,2,0,0
208,1,1,2,1,1
208,3,3,2,0,1
208,4,4,2,-0.1,0
208,2,2,1,0.1,1
208,4,4,1,0,1
208,1,1,2,0,0
208,4,4,1,-0.1,0
208,1,1,2,1,1
208,2,2,1,0,0
208,3,3,2,0,1
208,2,2,1,0,0
208,2,2,1,0,0
208,4,4,1,-0.1,0
208,1,1,2,1,1
208,3,3,2,0,1
208,3,3,2,-1,0
208,4,4,1,-0.1,0
208,1,1,2,1,1
208,3,3,2,0,1
208,3,3,2,0,1
208,4,4,1,-0.1,0
208,4,4,1,0,1
208,2,2,1,0,0
208,1,1,2,1,1
208,3,3,2,0,1
208,3,3,2,0,1
208,3,3,2,-1,0
208,2,2,1,0,0
208,1,1,2,1,1
208,2,2,1,0,0
208,2,2,1,0.1,1
208,4,4,1,-0.1,0
208,4,4,1,-0.1,0
208,1,1,2,1,1
208,1,1,2,0,0
208,5,1,2,1,1
208,7,3,2,0,1
208,5,1,2,0,0
208,7,3,1,-1,0
208,7,3,2,0,1
208,6,2,2,0.1,1
208,8,4,2,-0.1,0
208,6,2,1,0,0
208,5,1,2,1,1
208,8,4,2,0,1
208,8,4,2,0,1
208,6,2,1,0.1,1
208,7,3,2,-1,0
208,6,2,1,0,0
208,8,4,2,0,1
208,5,1,2,1,1
208,7,3,2,0,1
208,8,4,2,0,1
208,6,2,1,0,0
208,7,3,2,-1,0
208,6,2,1,0,0
208,8,4,2,0,1
208,5,1,2,1,1
208,6,2,1,0,0
208,5,1,2,1,1
208,8,4,2,0,1
208,5,1,2,1,1
208,5,1,2,0,0
208,7,3,2,0,1
208,6,2,1,0.1,1
208,8,4,2,-0.1,0
208,7,3,2,0,1
208,5,1,2,1,1
208,8,4,2,0,1
208,7,3,2,0,1
208,5,1,2,1,1
208,7,3,2,-1,0
208,8,4,2,0,1
208,7,3,2,0,1
208,6,2,1,0,0
208,6,2,1,0.1,1
208,8,4,2,-0.1,0
208,6,2,1,0,0
208,7,3,2,0,1
208,8,4,1,-0.1,0
208,6,2,1,0,0
208,5,1,2,1,1
208,5,1,2,0,0
208,8,4,2,-0.1,0
208,6,2,1,0,0
208,7,3,2,0,1
208,6,2,1,0,0
208,7,3,2,-1,0
208,6,2,2,0.1,1
208,7,3,2,0,1
208,7,3,2,0,1
208,5,1,2,1,1
208,8,4,2,0,1
208,5,1,2,1,1
208,5,1,2,0,0
208,6,2,2,0,0
208,8,4,2,0,1
208,8,4,2,0,1
208,5,1,2,1,1
208,7,3,2,0,1
208,6,2,2,0.1,1
208,8,4,2,-0.1,0
208,8,4,2,0,1
208,8,4,2,0,1
208,6,2,2,0,0
208,5,1,2,1,1
208,8,4,2,0,1
208,7,3,2,-1,0
208,7,3,2,0,1
208,6,2,2,0.1,1
208,5,1,2,1,1
208,7,3,2,0,1
208,6,2,2,0.1,1
208,5,1,2,0,0
208,5,1,2,1,1
