"subjID","cond1","cond2","infoType","choice","outAbs","outRel","out_c_abs","out_c_rel"
111,3,3,0,1,-1,0,0,1
111,1,1,0,1,1,1,1,1
111,3,3,0,2,-1,0,-1,0
111,4,4,1,2,-0.1,0,0,1
111,1,1,0,1,0,0,0,0
111,1,1,0,2,1,1,0,0
111,2,2,1,2,0.1,1,0.1,1
111,1,1,0,2,1,1,0,0
111,2,2,1,2,0,0,0,0
111,4,4,1,2,0,1,-0.1,0
111,4,4,1,2,0,1,-0.1,0
111,3,3,0,2,0,1,-1,0
111,4,4,1,2,0,1,-0.1,0
111,2,2,1,1,0,0,0.1,1
111,2,2,1,1,0,0,0.1,1
111,3,3,0,2,0,1,0,1
111,4,4,1,1,-0.1,0,-0.1,0
111,1,1,0,2,1,1,1,1
111,2,2,1,1,0.1,1,0.1,1
111,1,1,0,2,1,1,0,0
111,3,3,0,2,0,1,0,1
111,2,2,1,1,0,0,0.1,1
111,2,2,1,1,0,0,0,0
111,4,4,1,2,0,1,-0.1,0
111,3,3,0,2,0,1,-1,0
111,1,1,0,2,1,1,0,0
111,3,3,0,2,-1,0,-1,0
111,4,4,1,2,0,1,0,1
111,2,2,1,2,0.1,1,0,0
111,4,4,1,1,-0.1,0,0,1
111,1,1,0,2,0,0,0,0
111,3,3,0,2,0,1,-1,0
111,4,4,1,2,0,1,-0.1,0
111,3,3,0,2,0,1,-1,0
111,2,2,1,1,0.1,1,0,0
111,4,4,1,2,0,1,0,1
111,1,1,0,2,1,1,1,1
111,3,3,0,2,0,1,-1,0
111,2,2,1,2,0.1,1,0,0
111,3,3,0,2,0,1,0,1
111,1,1,0,2,1,1,0,0
111,3,3,0,2,-1,0,-1,0
111,2,2,1,2,0.1,1,0,0
111,4,4,1,2,0,1,-0.1,0
111,1,1,0,2,0,0,0,0
111,4,4,1,2,-0.1,0,-0.1,0
111,1,1,0,2,1,1,0,0
111,2,2,1,1,0,0,0.1,1
111,1,1,0,2,1,1,0,0
111,1,1,0,2,1,1,1,1
111,2,2,1,1,0,0,0.1,1
111,4,4,1,2,0,1,0,1
111,3,3,0,2,0,1,-1,0
111,2,2,1,2,0.1,1,0.1,1
111,3,3,0,2,0,1,-1,0
111,1,1,0,2,0,0,0,0
111,4,4,1,2,0,1,-0.1,0
111,2,2,1,2,0.1,1,0,0
111,4,4,1,2,-0.1,0,-0.1,0
111,2,2,1,2,0,0,0,0
111,3,3,0,2,0,1,-1,0
111,3,3,0,2,-1,0,0,1
111,4,4,1,2,0,1,-0.1,0
111,1,1,0,2,1,1,0,0
111,4,4,1,2,0,1,-0.1,0
111,1,1,0,2,1,1,1,1
111,4,4,1,2,0,1,0,1
111,2,2,1,2,0.1,1,0,0
111,3,3,0,2,0,1,0,1
111,1,1,0,2,1,1,0,0
111,1,1,0,2,1,1,0,0
111,4,4,1,2,-0.1,0,-0.1,0
111,3,3,0,2,0,1,-1,0
111,3,3,0,2,-1,0,-1,0
111,3,3,0,2,0,1,-1,0
111,4,4,1,2,0,1,-0.1,0
111,2,2,1,2,0,0,0.1,1
111,2,2,1,2,0.1,1,0,0
111,2,2,1,2,0.1,1,0,0
111,1,1,0,2,0,0,0,0
111,5,1,1,2,1,1,1,1
111,5,1,1,2,1,1,0,0
111,7,3,1,2,0,1,-1,0
111,5,1,1,2,1,1,0,0
111,8,4,0,2,0,1,0,1
111,7,3,1,1,0,1,-1,0
111,8,4,0,2,-0.1,0,-0.1,0
111,5,1,1,2,0,0,0,0
111,6,2,0,1,0.1,1,0.1,1
111,7,3,1,2,0,1,-1,0
111,8,4,0,2,0,1,-0.1,0
111,8,4,0,2,0,1,-0.1,0
111,6,2,0,1,0,0,0.1,1
111,6,2,0,2,0.1,1,0,0
111,6,2,0,2,0,0,0,0
111,7,3,1,2,0,1,-1,0
111,7,3,1,1,-1,0,0,1
111,8,4,0,2,0,1,-0.1,0
111,6,2,0,1,0,0,0,0
111,7,3,1,2,0,1,-1,0
111,7,3,1,1,-1,0,-1,0
111,8,4,0,2,0,1,-0.1,0
111,5,1,1,2,0,0,0,0
111,8,4,0,2,-0.1,0,0,1
111,5,1,1,2,1,1,0,0
111,6,2,0,2,0.1,1,0.1,1
111,5,1,1,2,1,1,0,0
111,5,1,1,2,1,1,1,1
111,7,3,1,2,0,1,0,1
111,6,2,0,2,0.1,1,0,0
111,6,2,0,2,0.1,1,0,0
111,8,4,0,2,0,1,-0.1,0
111,6,2,0,1,0,0,0,0
111,7,3,1,2,-1,0,-1,0
111,5,1,1,2,1,1,0,0
111,6,2,0,2,0.1,1,0,0
111,8,4,0,2,-0.1,0,0,1
111,7,3,1,2,0,1,0,1
111,7,3,1,2,0,1,-1,0
111,6,2,0,1,0,0,0,0
111,6,2,0,2,0.1,1,0,0
111,8,4,0,2,0,1,-0.1,0
111,7,3,1,1,-1,0,0,1
111,5,1,1,2,1,1,0,0
111,8,4,0,2,0,1,-0.1,0
111,8,4,0,2,0,1,-0.1,0
111,5,1,1,2,0,0,0,0
111,5,1,1,2,1,1,1,1
111,6,2,0,2,0.1,1,0,0
111,6,2,0,2,0.1,1,0.1,1
111,6,2,0,2,0,0,0,0
111,5,1,1,2,1,1,1,1
111,7,3,1,2,-1,0,-1,0
111,8,4,0,2,0,1,-0.1,0
111,7,3,1,1,0,1,0,1
111,8,4,0,2,-0.1,0,0,1
111,5,1,1,2,1,1,0,0
111,5,1,1,2,1,1,0,0
111,5,1,1,2,0,0,0,0
111,8,4,0,2,0,1,-0.1,0
111,7,3,1,2,0,1,-1,0
111,8,4,0,2,0,1,-0.1,0
111,6,2,0,2,0.1,1,0,0
111,7,3,1,2,0,1,-1,0
111,7,3,1,1,-1,0,-1,0
111,7,3,1,2,0,1,-1,0
111,7,3,1,2,0,1,0,1
111,6,2,0,2,0.1,1,0,0
111,5,1,1,2,1,1,1,1
111,8,4,0,2,0,1,-0.1,0
111,8,4,0,2,-0.1,0,-0.1,0
111,6,2,0,2,0.1,1,0.1,1
111,5,1,1,2,1,1,0,0
111,7,3,1,2,0,1,-1,0
111,6,2,0,2,0.1,1,0,0
