"subjID","cond1","cond2","infoType","choice","outAbs","outRel","out_c_abs","out_c_rel"
105,1,1,0,2,1,1,0,0
105,3,3,0,1,0,1,0,1
105,2,2,1,1,0,0,0,0
105,1,1,0,2,0,0,0,0
105,2,2,1,1,0,0,0.1,1
105,1,1,0,2,1,1,0,0
105,2,2,1,1,0,0,0.1,1
105,3,3,0,1,-1,0,-1,0
105,4,4,1,1,-0.1,0,0,1
105,2,2,1,2,0.1,1,0.1,1
105,3,3,0,1,-1,0,0,1
105,4,4,1,1,-0.1,0,-0.1,0
105,4,4,1,2,0,1,-0.1,0
105,4,4,1,2,0,1,0,1
105,3,3,0,2,0,1,-1,0
105,1,1,0,2,1,1,1,1
105,1,1,0,2,0,0,0,0
105,4,4,1,2,-0.1,0,-0.1,0
105,2,2,1,1,0,0,0.1,1
105,1,1,0,2,1,1,1,1
105,2,2,1,2,0,0,0,0
105,4,4,1,2,0,1,0,1
105,3,3,0,1,-1,0,0,1
105,3,3,0,2,0,1,-1,0
105,2,2,1,1,0.1,1,0.1,1
105,4,4,1,1,-0.1,0,0,1
105,3,3,0,2,0,1,0,1
105,1,1,0,2,1,1,0,0
105,3,3,0,2,-1,0,-1,0
105,2,2,1,1,0,0,0.1,1
105,1,1,0,2,1,1,0,0
105,4,4,1,2,0,1,-0.1,0
105,1,1,0,2,0,0,1,1
105,1,1,0,2,1,1,0,0
105,4,4,1,2,0,1,-0.1,0
105,3,3,0,2,0,1,-1,0
105,3,3,0,2,-1,0,0,1
105,4,4,1,2,0,1,0,1
105,2,2,1,1,0,0,0.1,1
105,2,2,1,1,0,0,0,0
105,3,3,0,2,0,1,-1,0
105,1,1,0,2,1,1,0,0
105,1,1,0,2,1,1,0,0
105,2,2,1,1,0.1,1,0.1,1
105,4,4,1,2,-0.1,0,-0.1,0
105,3,3,0,2,0,1,-1,0
105,2,2,1,1,0,0,0.1,1
105,4,4,1,2,0,1,-0.1,0
105,2,2,1,1,0.1,1,0,0
105,1,1,0,2,1,1,0,0
105,4,4,1,2,0,1,0,1
105,2,2,1,1,0,0,0.1,1
105,3,3,0,2,0,1,-1,0
105,2,2,1,1,0,0,0.1,1
105,3,3,0,2,-1,0,0,1
105,4,4,1,2,0,1,-0.1,0
105,1,1,0,2,1,1,1,1
105,4,4,1,2,0,1,-0.1,0
105,3,3,0,2,0,1,-1,0
105,1,1,0,2,0,0,0,0
105,4,4,1,2,-0.1,0,-0.1,0
105,3,3,0,2,0,1,-1,0
105,2,2,1,1,0,0,0.1,1
105,1,1,0,2,1,1,0,0
105,4,4,1,2,0,1,0,1
105,2,2,1,1,0,0,0,0
105,4,4,1,2,-0.1,0,-0.1,0
105,2,2,1,1,0.1,1,0.1,1
105,3,3,0,2,0,1,-1,0
105,1,1,0,2,0,0,0,0
105,3,3,0,2,0,1,-1,0
105,3,3,0,2,-1,0,0,1
105,1,1,0,2,1,1,0,0
105,1,1,0,2,1,1,0,0
105,4,4,1,2,0,1,-0.1,0
105,4,4,1,2,0,1,-0.1,0
105,1,1,0,2,1,1,1,1
105,3,3,0,2,0,1,-1,0
105,2,2,1,2,0.1,1,0,0
105,2,2,1,1,0,0,0.1,1
105,7,3,1,1,-1,0,-1,0
105,5,1,1,2,1,1,1,1
105,6,2,0,2,0.1,1,0,0
105,5,1,1,2,1,1,0,0
105,7,3,1,1,0,1,-1,0
105,5,1,1,2,1,1,0,0
105,8,4,0,2,0,1,0,1
105,6,2,0,1,0,0,0.1,1
105,7,3,1,2,0,1,-1,0
105,6,2,0,2,0,0,0.1,1
105,8,4,0,2,0,1,-0.1,0
105,7,3,1,2,0,1,-1,0
105,8,4,0,2,0,1,-0.1,0
105,6,2,0,2,0.1,1,0,0
105,5,1,1,2,0,0,0,0
105,8,4,0,1,-0.1,0,-0.1,0
105,5,1,1,2,1,1,0,0
105,6,2,0,1,0,0,0,0
105,8,4,0,2,0,1,-0.1,0
105,8,4,0,2,-0.1,0,-0.1,0
105,5,1,1,2,0,0,0,0
105,7,3,1,2,0,1,-1,0
105,7,3,1,2,-1,0,-1,0
105,5,1,1,2,1,1,0,0
105,6,2,0,1,0,0,0.1,1
105,8,4,0,2,0,1,-0.1,0
105,7,3,1,2,0,1,0,1
105,6,2,0,2,0.1,1,0.1,1
105,6,2,0,1,0,0,0.1,1
105,5,1,1,2,1,1,1,1
105,8,4,0,2,0,1,0,1
105,7,3,1,2,0,1,-1,0
105,8,4,0,2,-0.1,0,-0.1,0
105,7,3,1,1,-1,0,0,1
105,6,2,0,1,0.1,1,0,0
105,6,2,0,1,0,0,0.1,1
105,5,1,1,2,1,1,1,1
105,7,3,1,2,-1,0,-1,0
105,7,3,1,2,0,1,-1,0
105,5,1,1,2,0,0,0,0
105,8,4,0,2,0,1,-0.1,0
105,8,4,0,2,0,1,-0.1,0
105,8,4,0,2,0,1,0,1
105,6,2,0,1,0,0,0.1,1
105,5,1,1,2,1,1,0,0
105,5,1,1,2,1,1,0,0
105,6,2,0,1,0,0,0.1,1
105,7,3,1,1,0,1,0,1
105,5,1,1,2,1,1,0,0
105,8,4,0,2,0,1,-0.1,0
105,6,2,0,2,0,0,0,0
105,5,1,1,2,1,1,1,1
105,6,2,0,2,0.1,1,0.1,1
105,8,4,0,2,0,1,-0.1,0
105,7,3,1,1,-1,0,0,1
105,8,4,0,2,-0.1,0,-0.1,0
105,6,2,0,2,0.1,1,0,0
105,5,1,1,2,1,1,0,0
105,7,3,1,2,-1,0,-1,0
105,8,4,0,2,0,1,0,1
105,5,1,1,2,0,0,0,0
105,6,2,0,2,0.1,1,0,0
105,7,3,1,2,0,1,-1,0
105,7,3,1,1,0,1,0,1
105,7,3,1,1,-1,0,-1,0
105,7,3,1,1,-1,0,0,1
105,6,2,0,2,0.1,1,0,0
105,8,4,0,2,-0.1,0,-0.1,0
105,8,4,0,2,0,1,-0.1,0
105,7,3,1,1,-1,0,0,1
105,5,1,1,2,0,0,0,0
105,6,2,0,2,0.1,1,0.1,1
105,5,1,1,2,1,1,1,1
105,5,1,1,2,1,1,0,0
105,8,4,0,2,0,1,-0.1,0
105,6,2,0,2,0,0,0,0
105,5,1,1,2,1,1,0,0
105,6,2,0,2,0.1,1,0,0
105,7,3,1,2,0,1,0,1
105,8,4,0,2,0,1,0,1
