"subjID","cond1","cond2","infoType","choice","outAbs","outRel","out_c_abs","out_c_rel"
116,3,3,1,1,0,1,0,1
116,1,1,1,2,1,1,0,0
116,4,4,0,1,0,1,0,1
116,2,2,0,1,0,0,0,0
116,3,3,1,2,0,1,-1,0
116,3,3,1,2,0,1,-1,0
116,1,1,1,2,1,1,0,0
116,4,4,0,1,-0.1,0,0,1
116,2,2,0,1,0,0,0.1,1
116,4,4,0,1,-0.1,0,-0.1,0
116,1,1,1,2,1,1,1,1
116,3,3,1,2,-1,0,-1,0
116,4,4,0,2,0,1,-0.1,0
116,2,2,0,1,0.1,1,0.1,1
116,2,2,0,2,0.1,1,0,0
116,1,1,1,1,0,0,0,0
116,3,3,1,2,0,1,-1,0
116,3,3,1,1,-1,0,0,1
116,1,1,1,1,0,0,1,1
116,2,2,0,2,0,0,0,0
116,2,2,0,2,0.1,1,0,0
116,4,4,0,1,-0.1,0,0,1
116,3,3,1,2,-1,0,0,1
116,3,3,1,1,-1,0,0,1
116,2,2,0,1,0.1,1,0.1,1
116,4,4,0,1,-0.1,0,0,1
116,2,2,0,2,0.1,1,0,0
116,4,4,0,1,0,1,0,1
116,4,4,0,2,-0.1,0,-0.1,0
116,1,1,1,1,0,0,0,0
116,1,1,1,1,1,1,1,1
116,1,1,1,2,1,1,0,0
116,1,1,1,1,1,1,1,1
116,4,4,0,2,0,1,-0.1,0
116,3,3,1,2,0,1,-1,0
116,4,4,0,1,0,1,0,1
116,2,2,0,2,0.1,1,0.1,1
116,2,2,0,2,0.1,1,0,0
116,3,3,1,1,-1,0,-1,0
116,2,2,0,1,0,0,0.1,1
116,2,2,0,2,0,0,0,0
116,1,1,1,1,0,0,1,1
116,3,3,1,1,-1,0,0,1
116,4,4,0,1,-0.1,0,-0.1,0
116,3,3,1,2,0,1,-1,0
116,1,1,1,1,0,0,0,0
116,1,1,1,1,0,0,1,1
116,4,4,0,1,-0.1,0,0,1
116,2,2,0,2,0.1,1,0,0
116,1,1,1,2,1,1,0,0
116,3,3,1,1,-1,0,0,1
116,1,1,1,2,0,0,1,1
116,4,4,0,1,-0.1,0,0,1
116,2,2,0,1,0,0,0.1,1
116,4,4,0,2,-0.1,0,-0.1,0
116,3,3,1,1,-1,0,0,1
116,2,2,0,2,0,0,0,0
116,4,4,0,1,-0.1,0,0,1
116,4,4,0,1,0,1,0,1
116,2,2,0,1,0.1,1,0.1,1
116,3,3,1,2,-1,0,0,1
116,3,3,1,2,0,1,-1,0
116,1,1,1,2,1,1,0,0
116,1,1,1,1,0,0,1,1
116,4,4,0,2,0,1,-0.1,0
116,1,1,1,2,1,1,0,0
116,2,2,0,2,0.1,1,0,0
116,1,1,1,1,0,0,0,0
116,2,2,0,1,0,0,0.1,1
116,3,3,1,2,0,1,0,1
116,4,4,0,1,-0.1,0,-0.1,0
116,2,2,0,2,0,0,0.1,1
116,3,3,1,2,0,1,-1,0
116,2,2,0,1,0,0,0.1,1
116,4,4,0,1,-0.1,0,0,1
116,3,3,1,1,-1,0,0,1
116,3,3,1,1,-1,0,-1,0
116,1,1,1,2,1,1,1,1
116,1,1,1,1,0,0,1,1
116,4,4,0,1,0,1,0,1
116,5,1,0,1,0,0,1,1
116,7,3,0,2,0,1,-1,0
116,8,4,1,2,0,1,-0.1,0
116,6,2,1,2,0,0,0,0
116,6,2,1,2,0.1,1,0.1,1
116,5,1,0,2,0,0,1,1
116,5,1,0,2,1,1,0,0
116,7,3,0,2,0,1,-1,0
116,7,3,0,1,0,1,-1,0
116,8,4,1,1,-0.1,0,-0.1,0
116,5,1,0,1,0,0,1,1
116,8,4,1,2,0,1,-0.1,0
116,8,4,1,1,0,1,0,1
116,7,3,0,2,0,1,-1,0
116,6,2,1,1,0,0,0.1,1
116,6,2,1,1,0,0,0.1,1
116,5,1,0,2,1,1,1,1
116,8,4,1,2,0,1,-0.1,0
116,7,3,0,2,0,1,0,1
116,5,1,0,2,1,1,0,0
116,7,3,0,2,0,1,-1,0
116,7,3,0,1,-1,0,-1,0
116,7,3,0,1,-1,0,0,1
116,6,2,1,1,0.1,1,0.1,1
116,8,4,1,2,-0.1,0,-0.1,0
116,6,2,1,2,0.1,1,0,0
116,8,4,1,1,-0.1,0,0,1
116,8,4,1,1,0,1,0,1
116,5,1,0,2,0,0,0,0
116,6,2,1,2,0,0,0,0
116,5,1,0,1,0,0,1,1
116,6,2,1,2,0.1,1,0,0
116,7,3,0,2,0,1,-1,0
116,5,1,0,2,1,1,0,0
116,6,2,1,2,0.1,1,0.1,1
116,7,3,0,2,-1,0,-1,0
116,8,4,1,2,0,1,-0.1,0
116,5,1,0,2,0,0,0,0
116,7,3,0,2,0,1,-1,0
116,6,2,1,2,0.1,1,0,0
116,6,2,1,2,0.1,1,0,0
116,8,4,1,1,0,1,-0.1,0
116,5,1,0,2,1,1,0,0
116,5,1,0,2,1,1,1,1
116,6,2,1,2,0,0,0,0
116,7,3,0,1,0,1,0,1
116,8,4,1,1,-0.1,0,0,1
116,8,4,1,1,-0.1,0,0,1
116,6,2,1,2,0.1,1,0.1,1
116,8,4,1,1,-0.1,0,0,1
116,5,1,0,2,1,1,0,0
116,8,4,1,2,0,1,-0.1,0
116,6,2,1,2,0,0,0,0
116,7,3,0,2,0,1,0,1
116,7,3,0,1,-1,0,0,1
116,5,1,0,2,1,1,1,1
116,6,2,1,2,0.1,1,0,0
116,7,3,0,2,0,1,-1,0
116,8,4,1,2,-0.1,0,0,1
116,5,1,0,2,1,1,0,0
116,5,1,0,2,0,0,0,0
116,8,4,1,2,0,1,-0.1,0
116,6,2,1,2,0.1,1,0,0
116,7,3,0,1,-1,0,-1,0
116,5,1,0,2,0,0,0,0
116,6,2,1,2,0.1,1,0,0
116,5,1,0,2,1,1,1,1
116,8,4,1,2,0,1,-0.1,0
116,7,3,0,1,0,1,-1,0
116,5,1,0,2,1,1,0,0
116,6,2,1,1,0.1,1,0.1,1
116,7,3,0,2,0,1,-1,0
116,6,2,1,2,0,0,0,0
116,7,3,0,2,0,1,-1,0
116,8,4,1,1,-0.1,0,0,1
116,5,1,0,2,1,1,0,0
116,8,4,1,2,-0.1,0,0,1
116,6,2,1,2,0.1,1,0,0
116,8,4,1,2,0,1,-0.1,0
116,7,3,0,1,-1,0,0,1
