"subjID","cond1","cond2","infoType","choice","outAbs","outRel","out_c_abs","out_c_rel"
104,1,1,1,1,0,0,1,1
104,3,3,1,1,-1,0,0,1
104,1,1,1,2,0,0,0,0
104,1,1,1,1,0,0,1,1
104,3,3,1,2,0,1,-1,0
104,3,3,1,1,0,1,-1,0
104,3,3,1,1,-1,0,-1,0
104,4,4,0,2,-0.1,0,-0.1,0
104,1,1,1,1,1,1,1,1
104,4,4,0,1,0,1,0,1
104,2,2,0,2,0.1,1,0,0
104,2,2,0,1,0,0,0.1,1
104,4,4,0,2,0,1,-0.1,0
104,2,2,0,1,0.1,1,0,0
104,2,2,0,1,0,0,0.1,1
104,4,4,0,1,-0.1,0,0,1
104,1,1,1,1,0,0,1,1
104,4,4,0,1,-0.1,0,0,1
104,2,2,0,2,0,0,0,0
104,4,4,0,1,-0.1,0,0,1
104,4,4,0,1,-0.1,0,0,1
104,1,1,1,1,1,1,1,1
104,3,3,1,2,0,1,-1,0
104,2,2,0,2,0.1,1,0,0
104,2,2,0,2,0.1,1,0,0
104,3,3,1,1,-1,0,-1,0
104,3,3,1,2,0,1,-1,0
104,2,2,0,1,0.1,1,0.1,1
104,3,3,1,1,0,1,0,1
104,1,1,1,1,0,0,0,0
104,4,4,0,2,-0.1,0,0,1
104,1,1,1,1,0,0,1,1
104,4,4,0,1,-0.1,0,0,1
104,3,3,1,2,0,1,-1,0
104,2,2,0,1,0.1,1,0.1,1
104,3,3,1,2,0,1,-1,0
104,1,1,1,1,0,0,0,0
104,1,1,1,1,0,0,1,1
104,2,2,0,1,0,0,0,0
104,2,2,0,1,0,0,0.1,1
104,4,4,0,1,-0.1,0,0,1
104,3,3,1,1,0,1,-1,0
104,4,4,0,1,-0.1,0,-0.1,0
104,2,2,0,2,0.1,1,0,0
104,4,4,0,1,0,1,0,1
104,3,3,1,1,-1,0,0,1
104,1,1,1,1,0,0,1,1
104,1,1,1,1,1,1,1,1
104,1,1,1,1,0,0,1,1
104,4,4,0,1,-0.1,0,-0.1,0
104,1,1,1,1,1,1,0,0
104,4,4,0,1,-0.1,0,0,1
104,4,4,0,1,0,1,0,1
104,3,3,1,1,-1,0,-1,0
104,2,2,0,1,0,0,0.1,1
104,2,2,0,2,0.1,1,0.1,1
104,3,3,1,1,-1,0,0,1
104,2,2,0,2,0.1,1,0,0
104,3,3,1,1,-1,0,-1,0
104,1,1,1,1,0,0,1,1
104,2,2,0,1,0,0,0,0
104,3,3,1,2,0,1,0,1
104,4,4,0,1,-0.1,0,0,1
104,1,1,1,1,0,0,1,1
104,1,1,1,1,0,0,1,1
104,1,1,1,1,1,1,1,1
104,2,2,0,1,0,0,0.1,1
104,4,4,0,1,0,1,-0.1,0
104,3,3,1,1,-1,0,0,1
104,4,4,0,1,-0.1,0,0,1
104,1,1,1,1,0,0,1,1
104,2,2,0,1,0,0,0,0
104,4,4,0,1,-0.1,0,0,1
104,3,3,1,2,-1,0,0,1
104,2,2,0,1,0,0,0.1,1
104,2,2,0,1,0,0,0,0
104,1,1,1,1,0,0,0,0
104,3,3,1,2,0,1,-1,0
104,3,3,1,2,0,1,-1,0
104,4,4,0,1,-0.1,0,0,1
104,6,2,1,2,0.1,1,0,0
104,6,2,1,2,0.1,1,0,0
104,7,3,0,2,0,1,-1,0
104,8,4,1,2,-0.1,0,-0.1,0
104,5,1,0,2,0,0,0,0
