"subjID","cond1","cond2","infoType","choice","outAbs","outRel","out_c_abs","out_c_rel"
56,1,1,1,2,1,1,0,0
56,4,4,0,1,-0.1,0,0,1
56,1,1,1,2,0,0,0,0
56,2,2,0,2,0.1,1,0,0
56,3,3,1,2,-1,0,-1,0
56,1,1,1,2,1,1,1,1
56,4,4,0,1,-0.1,0,0,1
56,3,3,1,2,0,1,-1,0
56,2,2,0,2,0.1,1,0.1,1
56,3,3,1,2,0,1,-1,0
56,1,1,1,2,1,1,0,0
56,2,2,0,2,0,0,0,0
56,4,4,0,1,-0.1,0,-0.1,0
56,4,4,0,1,-0.1,0,-0.1,0
56,3,3,1,2,0,1,0,1
56,2,2,0,2,0.1,1,0,0
56,2,2,0,2,0.1,1,0,0
56,2,2,0,2,0,0,0,0
56,2,2,0,2,0.1,1,0.1,1
56,1,1,1,2,1,1,0,0
56,4,4,0,1,-0.1,0,0,1
56,4,4,0,1,0,1,0,1
56,3,3,1,2,-1,0,0,1
56,4,4,0,1,-0.1,0,0,1
56,3,3,1,2,0,1,-1,0
56,1,1,1,2,1,1,1,1
56,1,1,1,2,0,0,0,0
56,1,1,1,2,1,1,0,0
56,2,2,0,2,0.1,1,0,0
56,3,3,1,2,0,1,-1,0
56,4,4,0,1,-0.1,0,-0.1,0
56,3,3,1,2,0,1,-1,0
56,4,4,0,1,-0.1,0,0,1
56,3,3,1,2,0,1,-1,0
56,4,4,0,1,0,1,-0.1,0
56,3,3,1,2,0,1,-1,0
56,2,2,0,2,0.1,1,0,0
56,3,3,1,2,-1,0,-1,0
56,3,3,1,2,0,1,0,1
56,4,4,0,2,0,1,-0.1,0
56,1,1,1,1,1,1,1,1
56,1,1,1,1,0,0,0,0
56,2,2,0,2,0,0,0.1,1
56,1,1,1,1,0,0,1,1
56,4,4,0,2,0,1,-0.1,0
56,1,1,1,2,1,1,0,0
56,2,2,0,2,0.1,1,0,0
56,2,2,0,2,0.1,1,0,0
56,4,4,0,1,-0.1,0,0,1
56,2,2,0,2,0.1,1,0.1,1
56,2,2,0,2,0,0,0,0
56,2,2,0,2,0.1,1,0,0
56,1,1,1,1,0,0,1,1
56,3,3,1,2,0,1,0,1
56,2,2,0,2,0.1,1,0,0
56,1,1,1,2,1,1,0,0
56,3,3,1,2,-1,0,-1,0
56,3,3,1,2,0,1,-1,0
56,3,3,1,2,0,1,-1,0
56,4,4,0,2,0,1,-0.1,0
56,4,4,0,2,-0.1,0,0,1
56,1,1,1,1,1,1,1,1
56,1,1,1,1,0,0,0,0
56,4,4,0,2,0,1,-0.1,0
56,1,1,1,1,1,1,0,0
56,4,4,0,2,0,1,0,1
56,4,4,0,2,0,1,-0.1,0
56,3,3,1,2,0,1,-1,0
56,2,2,0,2,0.1,1,0.1,1
56,4,4,0,2,-0.1,0,-0.1,0
56,2,2,0,2,0,0,0,0
56,2,2,0,2,0.1,1,0,0
56,3,3,1,2,-1,0,-1,0
56,1,1,1,2,1,1,0,0
56,2,2,0,2,0.1,1,0,0
56,1,1,1,2,1,1,0,0
56,3,3,1,2,0,1,-1,0
56,1,1,1,1,0,0,1,1
56,3,3,1,2,0,1,0,1
56,4,4,0,2,0,1,-0.1,0
56,6,2,1,2,0.1,1,0,0
56,5,1,0,2,0,0,0,0
56,5,1,0,2,1,1,1,1
56,7,3,0,1,0,1,0,1
56,7,3,0,1,-1,0,0,1
56,8,4,1,1,0,1,0,1
56,5,1,0,2,1,1,0,0
56,6,2,1,2,0,0,0,0
56,8,4,1,2,0,1,-0.1,0
56,8,4,1,1,-0.1,0,0,1
56,7,3,0,2,0,1,-1,0
56,6,2,1,2,0.1,1,0.1,1
56,5,1,0,2,1,1,0,0
56,8,4,1,1,-0.1,0,-0.1,0
56,7,3,0,2,-1,0,-1,0
56,6,2,1,1,0,0,0.1,1
56,8,4,1,1,-0.1,0,0,1
56,8,4,1,1,0,1,0,1
56,7,3,0,2,0,1,-1,0
56,5,1,0,2,1,1,0,0
56,5,1,0,2,1,1,0,0
56,7,3,0,2,-1,0,-1,0
56,7,3,0,1,-1,0,0,1
56,7,3,0,2,0,1,0,1
56,5,1,0,2,0,0,0,0
56,6,2,1,2,0.1,1,0,0
56,6,2,1,2,0,0,0,0
56,6,2,1,2,0.1,1,0.1,1
56,8,4,1,1,-0.1,0,-0.1,0
56,5,1,0,2,1,1,1,1
56,6,2,1,2,0.1,1,0,0
56,8,4,1,2,0,1,-0.1,0
56,8,4,1,2,0,1,-0.1,0
56,5,1,0,2,1,1,0,0
56,5,1,0,2,0,0,1,1
56,7,3,0,2,-1,0,-1,0
56,7,3,0,2,0,1,0,1
56,5,1,0,2,1,1,0,0
56,5,1,0,2,1,1,0,0
56,6,2,1,2,0.1,1,0,0
56,6,2,1,2,0.1,1,0.1,1
56,7,3,0,2,0,1,-1,0
56,8,4,1,2,0,1,-0.1,0
56,8,4,1,2,0,1,-0.1,0
56,6,2,1,2,0,0,0,0
56,7,3,0,2,0,1,-1,0
56,8,4,1,2,-0.1,0,0,1
56,6,2,1,2,0.1,1,0,0
56,6,2,1,2,0.1,1,0,0
56,8,4,1,2,-0.1,0,-0.1,0
56,8,4,1,2,0,1,0,1
56,7,3,0,2,0,1,-1,0
56,6,2,1,2,0.1,1,0,0
56,5,1,0,2,1,1,0,0
56,8,4,1,2,0,1,-0.1,0
56,8,4,1,2,0,1,-0.1,0
56,6,2,1,2,0.1,1,0,0
56,5,1,0,2,1,1,0,0
56,7,3,0,2,0,1,-1,0
56,7,3,0,2,0,1,0,1
56,6,2,1,2,0,0,0.1,1
56,7,3,0,2,-1,0,-1,0
56,5,1,0,2,0,0,1,1
56,5,1,0,2,1,1,0,0
56,7,3,0,2,-1,0,-1,0
56,5,1,0,2,1,1,0,0
56,8,4,1,2,0,1,0,1
56,8,4,1,2,0,1,-0.1,0
56,8,4,1,2,0,1,-0.1,0
56,7,3,0,2,0,1,-1,0
56,5,1,0,2,1,1,0,0
56,6,2,1,2,0.1,1,0,0
56,6,2,1,2,0.1,1,0.1,1
56,6,2,1,2,0,0,0,0
56,5,1,0,2,1,1,0,0
56,6,2,1,2,0.1,1,0,0
56,5,1,0,2,0,0,1,1
56,7,3,0,2,0,1,0,1
56,8,4,1,2,-0.1,0,-0.1,0
56,7,3,0,2,0,1,-1,0
