"subjID","cond1","cond2","infoType","choice","outAbs","outRel","out_c_abs","out_c_rel"
118,2,2,0,2,0,0,0.1,1
118,3,3,1,2,0,1,0,1
118,2,2,0,2,0.1,1,0,0
118,2,2,0,2,0.1,1,0,0
118,1,1,1,1,1,1,0,0
118,2,2,0,2,0.1,1,0,0
118,1,1,1,1,0,0,1,1
118,4,4,0,1,-0.1,0,0,1
118,3,3,1,2,0,1,-1,0
118,4,4,0,1,-0.1,0,-0.1,0
118,3,3,1,2,0,1,-1,0
118,1,1,1,1,0,0,1,1
118,3,3,1,2,-1,0,-1,0
118,4,4,0,1,-0.1,0,0,1
118,4,4,0,2,0,1,0,1
118,1,1,1,1,0,0,1,1
118,1,1,1,1,0,0,1,1
118,2,2,0,2,0,0,0.1,1
118,4,4,0,1,0,1,0,1
118,1,1,1,1,0,0,1,1
118,4,4,0,1,-0.1,0,0,1
118,3,3,1,1,-1,0,-1,0
118,2,2,0,2,0.1,1,0,0
118,2,2,0,2,0.1,1,0,0
118,1,1,1,1,0,0,0,0
118,3,3,1,2,0,1,0,1
118,2,2,0,2,0.1,1,0,0
118,1,1,1,1,1,1,1,1
118,4,4,0,1,-0.1,0,0,1
118,4,4,0,1,-0.1,0,-0.1,0
118,3,3,1,2,0,1,-1,0
118,3,3,1,2,0,1,-1,0
118,3,3,1,2,0,1,-1,0
118,2,2,0,2,0.1,1,0,0
118,3,3,1,2,0,1,0,1
118,3,3,1,2,0,1,-1,0
118,2,2,0,2,0,0,0.1,1
118,2,2,0,2,0.1,1,0,0
118,1,1,1,1,1,1,1,1
118,1,1,1,1,0,0,0,0
118,4,4,0,1,0,1,0,1
118,1,1,1,1,0,0,1,1
118,4,4,0,1,-0.1,0,-0.1,0
118,3,3,1,2,-1,0,-1,0
118,4,4,0,1,-0.1,0,0,1
118,2,2,0,2,0.1,1,0,0
118,1,1,1,1,0,0,1,1
118,4,4,0,1,-0.1,0,0,1
118,3,3,1,2,0,1,0,1
118,1,1,1,1,0,0,1,1
118,3,3,1,2,0,1,-1,0
118,2,2,0,2,0.1,1,0,0
118,4,4,0,1,-0.1,0,-0.1,0
118,4,4,0,1,-0.1,0,0,1
118,1,1,1,1,1,1,1,1
118,1,1,1,1,0,0,1,1
118,4,4,0,2,0,1,0,1
118,2,2,0,2,0.1,1,0.1,1
118,3,3,1,2,0,1,-1,0
118,1,1,1,1,0,0,0,0
118,4,4,0,1,-0.1,0,0,1
118,3,3,1,2,-1,0,-1,0
118,2,2,0,2,0,0,0,0
118,2,2,0,2,0.1,1,0,0
118,3,3,1,2,0,1,0,1
118,2,2,0,2,0.1,1,0,0
118,4,4,0,2,0,1,-0.1,0
118,2,2,0,2,0.1,1,0.1,1
118,2,2,0,2,0,0,0,0
118,4,4,0,2,0,1,-0.1,0
118,1,1,1,1,0,0,1,1
118,3,3,1,2,-1,0,-1,0
118,4,4,0,2,0,1,-0.1,0
118,1,1,1,1,1,1,1,1
118,2,2,0,2,0.1,1,0,0
118,4,4,0,2,-0.1,0,0,1
118,3,3,1,2,0,1,-1,0
118,3,3,1,2,0,1,-1,0
118,1,1,1,1,0,0,0,0
118,1,1,1,1,0,0,1,1
118,7,3,0,2,0,1,-1,0
118,7,3,0,1,0,1,0,1
118,6,2,1,1,0.1,1,0.1,1
118,7,3,0,1,-1,0,-1,0
118,5,1,0,2,1,1,1,1
118,8,4,1,2,0,1,-0.1,0
118,5,1,0,2,1,1,0,0
118,8,4,1,2,0,1,-0.1,0
118,8,4,1,2,0,1,-0.1,0
118,7,3,0,1,-1,0,0,1
118,8,4,1,1,0,1,-0.1,0
118,5,1,0,2,1,1,0,0
118,5,1,0,2,0,0,0,0
118,6,2,1,1,0,0,0,0
118,6,2,1,2,0.1,1,0,0
118,6,2,1,2,0.1,1,0,0
118,5,1,0,2,1,1,0,0
118,8,4,1,2,-0.1,0,-0.1,0
118,5,1,0,2,0,0,0,0
118,6,2,1,2,0.1,1,0,0
118,7,3,0,1,-1,0,0,1
118,6,2,1,2,0,0,0,0
118,6,2,1,2,0.1,1,0.1,1
118,8,4,1,2,0,1,0,1
118,8,4,1,2,0,1,-0.1,0
118,8,4,1,1,-0.1,0,0,1
118,7,3,0,2,0,1,-1,0
118,7,3,0,2,0,1,0,1
118,7,3,0,2,-1,0,-1,0
118,6,2,1,2,0.1,1,0,0
118,5,1,0,2,1,1,0,0
118,5,1,0,2,1,1,1,1
118,6,2,1,2,0.1,1,0,0
118,7,3,0,2,0,1,-1,0
118,8,4,1,2,0,1,-0.1,0
118,8,4,1,2,-0.1,0,-0.1,0
118,6,2,1,2,0,0,0,0
118,6,2,1,2,0.1,1,0,0
118,6,2,1,1,0.1,1,0.1,1
118,5,1,0,2,0,0,0,0
118,5,1,0,2,1,1,1,1
118,8,4,1,2,0,1,-0.1,0
118,8,4,1,2,0,1,0,1
118,7,3,0,2,0,1,-1,0
118,7,3,0,2,-1,0,-1,0
118,5,1,0,2,1,1,0,0
118,5,1,0,2,1,1,0,0
118,7,3,0,2,0,1,0,1
118,5,1,0,2,0,0,1,1
118,8,4,1,2,0,1,0,1
118,8,4,1,1,-0.1,0,-0.1,0
118,8,4,1,2,0,1,-0.1,0
118,6,2,1,2,0.1,1,0,0
118,7,3,0,2,0,1,-1,0
118,6,2,1,2,0.1,1,0,0
118,6,2,1,2,0,0,0,0
118,5,1,0,2,1,1,0,0
118,6,2,1,2,0.1,1,0.1,1
118,8,4,1,2,0,1,-0.1,0
118,5,1,0,2,1,1,0,0
118,7,3,0,2,0,1,-1,0
118,7,3,0,2,0,1,-1,0
118,5,1,0,2,1,1,0,0
118,7,3,0,2,-1,0,0,1
118,6,2,1,2,0.1,1,0,0
118,6,2,1,2,0.1,1,0.1,1
118,7,3,0,2,0,1,-1,0
118,5,1,0,2,1,1,0,0
118,7,3,0,2,-1,0,-1,0
118,7,3,0,2,0,1,0,1
118,8,4,1,1,-0.1,0,-0.1,0
118,5,1,0,2,0,0,0,0
118,8,4,1,1,-0.1,0,-0.1,0
118,6,2,1,2,0.1,1,0,0
118,8,4,1,1,0,1,0,1
118,5,1,0,2,1,1,0,0
118,8,4,1,2,0,1,-0.1,0
118,6,2,1,2,0,0,0,0
118,7,3,0,2,0,1,-1,0
118,5,1,0,2,1,1,1,1
