"subjID","cond1","cond2","infoType","choice","outAbs","outRel","out_c_abs","out_c_rel"
126,2,2,0,1,0.1,1,0,0
126,4,4,0,1,0,1,-0.1,0
126,3,3,1,2,0,1,-1,0
126,2,2,0,2,0.1,1,0,0
126,4,4,0,2,0,1,-0.1,0
126,2,2,0,1,0,0,0.1,1
126,1,1,1,1,0,0,1,1
126,4,4,0,2,0,1,-0.1,0
126,1,1,1,2,1,1,1,1
126,4,4,0,2,0,1,-0.1,0
126,3,3,1,1,-1,0,-1,0
126,3,3,1,2,0,1,0,1
126,1,1,1,2,0,0,0,0
126,3,3,1,2,0,1,-1,0
126,1,1,1,2,1,1,0,0
126,2,2,0,2,0.1,1,0,0
126,2,2,0,1,0,0,0.1,1
126,2,2,0,2,0,0,0,0
126,4,4,0,1,-0.1,0,0,1
126,1,1,1,1,0,0,1,1
126,1,1,1,1,0,0,1,1
126,1,1,1,1,0,0,1,1
126,2,2,0,1,0.1,1,0.1,1
126,4,4,0,2,0,1,-0.1,0
126,2,2,0,1,0,0,0.1,1
126,3,3,1,1,-1,0,0,1
126,4,4,0,2,-0.1,0,-0.1,0
126,3,3,1,2,0,1,-1,0
126,1,1,1,2,0,0,1,1
126,3,3,1,2,-1,0,-1,0
126,3,3,1,2,0,1,0,1
126,4,4,0,2,0,1,0,1
126,2,2,0,1,0.1,1,0.1,1
126,3,3,1,2,0,1,-1,0
126,2,2,0,1,0,0,0.1,1
126,1,1,1,2,1,1,1,1
126,2,2,0,2,0.1,1,0,0
126,1,1,1,2,0,0,0,0
126,4,4,0,1,0,1,0,1
126,4,4,0,2,0,1,-0.1,0
126,1,1,1,1,0,0,1,1
126,1,1,1,1,0,0,1,1
126,4,4,0,1,-0.1,0,0,1
126,3,3,1,1,-1,0,-1,0
126,3,3,1,2,0,1,-1,0
126,2,2,0,1,0,0,0,0
126,4,4,0,1,-0.1,0,-0.1,0
126,3,3,1,1,0,1,0,1
126,3,3,1,2,0,1,-1,0
126,2,2,0,1,0,0,0,0
126,1,1,1,2,1,1,0,0
126,2,2,0,1,0,0,0.1,1
126,4,4,0,1,-0.1,0,-0.1,0
126,3,3,1,2,0,1,-1,0
126,2,2,0,2,0.1,1,0.1,1
126,4,4,0,1,-0.1,0,0,1
126,2,2,0,1,0,0,0.1,1
126,3,3,1,2,-1,0,-1,0
126,1,1,1,1,0,0,1,1
126,4,4,0,2,0,1,0,1
126,1,1,1,2,1,1,0,0
126,1,1,1,1,1,1,0,0
126,4,4,0,1,-0.1,0,0,1
126,3,3,1,2,0,1,0,1
126,2,2,0,2,0.1,1,0,0
126,3,3,1,2,0,1,-1,0
126,4,4,0,1,-0.1,0,0,1
126,1,1,1,2,1,1,0,0
126,1,1,1,2,1,1,1,1
126,4,4,0,2,0,1,-0.1,0
126,3,3,1,1,-1,0,0,1
126,2,2,0,2,0,0,0.1,1
126,1,1,1,2,1,1,0,0
126,1,1,1,2,0,0,0,0
126,4,4,0,2,0,1,-0.1,0
126,3,3,1,1,0,1,-1,0
126,3,3,1,1,-1,0,-1,0
126,2,2,0,2,0.1,1,0,0
126,4,4,0,1,0,1,-0.1,0
126,2,2,0,2,0.1,1,0,0
126,8,4,1,1,0,1,-0.1,0
126,8,4,1,1,-0.1,0,0,1
126,7,3,0,1,-1,0,0,1
126,6,2,1,1,0,0,0.1,1
126,5,1,0,2,0,0,0,0
126,5,1,0,2,1,1,1,1
126,7,3,0,1,-1,0,0,1
126,6,2,1,1,0.1,1,0.1,1
126,6,2,1,2,0,0,0,0
126,5,1,0,1,0,0,0,0
126,6,2,1,2,0.1,1,0,0
126,8,4,1,2,0,1,-0.1,0
126,7,3,0,2,-1,0,-1,0
126,5,1,0,2,1,1,0,0
126,8,4,1,1,-0.1,0,0,1
126,7,3,0,1,0,1,0,1
126,7,3,0,2,-1,0,0,1
126,7,3,0,1,-1,0,0,1
126,7,3,0,2,0,1,-1,0
126,6,2,1,2,0,0,0.1,1
126,5,1,0,2,1,1,1,1
126,8,4,1,2,0,1,-0.1,0
126,6,2,1,1,0,0,0,0
126,6,2,1,2,0.1,1,0,0
126,5,1,0,2,1,1,0,0
126,5,1,0,2,1,1,0,0
126,8,4,1,1,-0.1,0,0,1
126,8,4,1,1,-0.1,0,-0.1,0
126,7,3,0,2,0,1,-1,0
126,6,2,1,2,0.1,1,0,0
126,5,1,0,2,0,0,0,0
126,8,4,1,1,0,1,0,1
126,8,4,1,1,-0.1,0,0,1
126,8,4,1,2,0,1,-0.1,0
126,7,3,0,2,-1,0,-1,0
126,8,4,1,2,-0.1,0,0,1
126,5,1,0,2,1,1,1,1
126,6,2,1,2,0,0,0,0
126,7,3,0,1,-1,0,0,1
126,6,2,1,2,0.1,1,0,0
126,6,2,1,2,0.1,1,0,0
126,8,4,1,2,0,1,-0.1,0
126,7,3,0,1,0,1,0,1
126,5,1,0,2,1,1,0,0
