"subjID","cond1","cond2","infoType","choice","outAbs","outRel","out_c_abs","out_c_rel"
64,2,2,0,2,0.1,1,0,0
64,3,3,1,1,-1,0,-1,0
64,1,1,1,1,1,1,1,1
64,4,4,0,2,-0.1,0,0,1
64,3,3,1,1,0,1,0,1
64,1,1,1,1,0,0,1,1
64,1,1,1,2,0,0,0,0
64,4,4,0,2,0,1,-0.1,0
64,3,3,1,2,0,1,-1,0
64,2,2,0,2,0.1,1,0,0
64,4,4,0,2,0,1,-0.1,0
64,4,4,0,1,-0.1,0,0,1
64,1,1,1,2,1,1,0,0
64,2,2,0,1,0.1,1,0,0
64,3,3,1,2,0,1,-1,0
64,2,2,0,1,0,0,0.1,1
64,2,2,0,1,0.1,1,0,0
64,3,3,1,2,0,1,-1,0
64,1,1,1,1,1,1,1,1
64,1,1,1,1,0,0,0,0
64,4,4,0,1,0,1,0,1
64,1,1,1,1,0,0,1,1
64,1,1,1,2,1,1,0,0
64,2,2,0,2,0.1,1,0,0
64,2,2,0,2,0.1,1,0,0
64,2,2,0,1,0,0,0.1,1
64,3,3,1,1,0,1,0,1
64,4,4,0,1,-0.1,0,0,1
64,3,3,1,2,-1,0,-1,0
64,4,4,0,1,-0.1,0,-0.1,0
64,3,3,1,1,-1,0,0,1
64,4,4,0,1,-0.1,0,0,1
64,4,4,0,2,0,1,-0.1,0
64,2,2,0,1,0,0,0.1,1
64,1,1,1,1,0,0,1,1
64,1,1,1,1,1,1,1,1
64,2,2,0,1,0,0,0.1,1
64,4,4,0,1,-0.1,0,-0.1,0
64,2,2,0,2,0.1,1,0,0
64,3,3,1,2,0,1,-1,0
64,2,2,0,2,0,0,0.1,1
64,1,1,1,1,0,0,0,0
64,1,1,1,1,0,0,1,1
64,3,3,1,2,-1,0,-1,0
64,3,3,1,2,0,1,-1,0
64,4,4,0,1,0,1,0,1
64,4,4,0,1,-0.1,0,0,1
64,3,3,1,2,0,1,0,1
64,4,4,0,1,-0.1,0,0,1
64,3,3,1,1,-1,0,-1,0
64,1,1,1,1,1,1,1,1
64,3,3,1,1,-1,0,0,1
64,2,2,0,1,0,0,0.1,1
64,2,2,0,2,0,0,0.1,1
64,2,2,0,2,0.1,1,0,0
64,4,4,0,2,0,1,-0.1,0
64,1,1,1,1,0,0,1,1
64,1,1,1,1,0,0,1,1
64,2,2,0,1,0,0,0.1,1
64,3,3,1,2,0,1,-1,0
64,4,4,0,1,0,1,0,1
64,1,1,1,2,0,0,0,0
64,4,4,0,1,-0.1,0,-0.1,0
64,3,3,1,2,0,1,0,1
64,2,2,0,1,0,0,0.1,1
64,1,1,1,1,0,0,1,1
64,2,2,0,1,0,0,0,0
64,4,4,0,1,0,1,0,1
64,1,1,1,1,1,1,0,0
64,3,3,1,2,0,1,-1,0
64,4,4,0,1,-0.1,0,0,1
64,2,2,0,2,0.1,1,0.1,1
64,4,4,0,1,-0.1,0,0,1
64,1,1,1,1,0,0,1,1
64,4,4,0,1,-0.1,0,-0.1,0
64,3,3,1,2,0,1,0,1
64,1,1,1,1,0,0,1,1
64,2,2,0,1,0,0,0.1,1
64,3,3,1,1,-1,0,-1,0
64,3,3,1,2,0,1,-1,0
64,8,4,1,2,0,1,-0.1,0
64,7,3,0,1,0,1,0,1
64,6,2,1,1,0.1,1,0,0
64,6,2,1,1,0,0,0.1,1
64,8,4,1,2,-0.1,0,0,1
64,5,1,0,2,1,1,0,0
64,5,1,0,2,1,1,0,0
64,8,4,1,2,0,1,-0.1,0
64,5,1,0,2,0,0,1,1
64,7,3,0,1,-1,0,0,1
64,6,2,1,1,0,0,0.1,1
64,5,1,0,2,1,1,0,0
64,7,3,0,2,0,1,-1,0
64,6,2,1,1,0,0,0.1,1
64,7,3,0,1,-1,0,-1,0
64,8,4,1,2,0,1,-0.1,0
64,6,2,1,1,0,0,0.1,1
64,5,1,0,2,1,1,0,0
64,8,4,1,2,0,1,-0.1,0
64,7,3,0,2,-1,0,-1,0
64,6,2,1,1,0.1,1,0.1,1
64,5,1,0,2,0,0,0,0
64,8,4,1,2,0,1,0,1
64,8,4,1,2,-0.1,0,-0.1,0
64,8,4,1,1,-0.1,0,0,1
64,6,2,1,2,0,0,0,0
64,7,3,0,2,0,1,-1,0
64,7,3,0,2,0,1,-1,0
64,5,1,0,2,1,1,1,1
64,5,1,0,2,1,1,0,0
64,7,3,0,2,0,1,0,1
64,6,2,1,1,0,0,0.1,1
64,8,4,1,2,-0.1,0,0,1
64,7,3,0,2,0,1,-1,0
64,6,2,1,1,0,0,0,0
64,5,1,0,2,0,0,0,0
64,6,2,1,1,0,0,0.1,1
64,8,4,1,1,-0.1,0,0,1
64,5,1,0,2,1,1,0,0
64,5,1,0,2,1,1,0,0
64,8,4,1,1,-0.1,0,0,1
64,7,3,0,2,-1,0,0,1
64,5,1,0,2,1,1,1,1
64,8,4,1,1,-0.1,0,0,1
64,7,3,0,2,0,1,-1,0
64,7,3,0,2,0,1,-1,0
64,6,2,1,1,0,0,0.1,1
64,6,2,1,1,0.1,1,0.1,1
64,5,1,0,2,1,1,0,0
64,5,1,0,2,1,1,1,1
64,7,3,0,2,0,1,0,1
64,7,3,0,2,0,1,-1,0
64,5,1,0,2,0,0,0,0
64,8,4,1,1,-0.1,0,-0.1,0
64,6,2,1,1,0,0,0,0
64,6,2,1,2,0.1,1,0.1,1
64,7,3,0,2,-1,0,-1,0
64,6,2,1,1,0,0,0.1,1
64,8,4,1,1,-0.1,0,0,1
64,8,4,1,1,0,1,0,1
64,5,1,0,2,1,1,0,0
64,8,4,1,1,-0.1,0,0,1
64,7,3,0,2,0,1,-1,0
64,6,2,1,1,0,0,0.1,1
64,8,4,1,2,0,1,0,1
64,7,3,0,2,-1,0,-1,0
64,8,4,1,2,0,1,-0.1,0
64,5,1,0,2,1,1,0,0
64,7,3,0,2,0,1,-1,0
64,5,1,0,2,1,1,0,0
64,8,4,1,2,0,1,-0.1,0
64,6,2,1,1,0,0,0.1,1
64,5,1,0,2,0,0,1,1
64,8,4,1,2,-0.1,0,-0.1,0
64,7,3,0,2,0,1,0,1
64,6,2,1,1,0,0,0.1,1
64,6,2,1,1,0.1,1,0,0
64,6,2,1,1,0,0,0.1,1
64,7,3,0,2,0,1,-1,0
64,5,1,0,2,1,1,0,0
