"subjID","cond1","cond2","infoType","choice","outAbs","outRel","out_c_abs","out_c_rel"
60,3,3,1,2,0,1,-1,0
60,4,4,0,2,0,1,0,1
60,2,2,0,2,0.1,1,0,0
60,2,2,0,2,0,0,0.1,1
60,1,1,1,2,1,1,0,0
60,3,3,1,2,0,1,0,1
60,4,4,0,1,-0.1,0,-0.1,0
60,1,1,1,1,1,1,0,0
60,3,3,1,1,-1,0,0,1
60,1,1,1,1,0,0,1,1
60,2,2,0,2,0.1,1,0,0
60,1,1,1,1,0,0,1,1
60,2,2,0,1,0,0,0.1,1
60,4,4,0,1,-0.1,0,0,1
60,3,3,1,1,-1,0,-1,0
60,4,4,0,1,-0.1,0,0,1
60,4,4,0,2,0,1,-0.1,0
60,3,3,1,1,-1,0,0,1
60,3,3,1,2,-1,0,-1,0
60,2,2,0,2,0.1,1,0.1,1
60,3,3,1,1,-1,0,0,1
60,4,4,0,2,0,1,0,1
60,4,4,0,2,0,1,-0.1,0
60,2,2,0,1,0,0,0.1,1
60,2,2,0,1,0,0,0.1,1
60,2,2,0,1,0,0,0,0
60,4,4,0,1,-0.1,0,-0.1,0
60,3,3,1,1,0,1,0,1
60,1,1,1,2,1,1,0,0
60,1,1,1,2,1,1,1,1
60,1,1,1,2,0,0,0,0
60,1,1,1,1,0,0,1,1
60,1,1,1,2,1,1,0,0
60,1,1,1,1,0,0,1,1
60,2,2,0,2,0.1,1,0,0
60,2,2,0,2,0.1,1,0,0
60,3,3,1,1,-1,0,0,1
60,2,2,0,1,0,0,0.1,1
60,4,4,0,1,0,1,0,1
60,4,4,0,1,-0.1,0,0,1
60,2,2,0,2,0,0,0.1,1
60,1,1,1,2,0,0,0,0
60,1,1,1,2,1,1,1,1
60,4,4,0,1,-0.1,0,-0.1,0
60,4,4,0,1,-0.1,0,0,1
60,3,3,1,1,-1,0,0,1
60,3,3,1,1,0,1,-1,0
60,3,3,1,1,-1,0,0,1
60,3,3,1,1,0,1,0,1
60,1,1,1,2,1,1,0,0
60,3,3,1,2,0,1,-1,0
60,2,2,0,2,0.1,1,0,0
60,4,4,0,1,0,1,0,1
60,4,4,0,1,-0.1,0,0,1
60,4,4,0,2,-0.1,0,-0.1,0
60,1,1,1,2,1,1,1,1
60,2,2,0,2,0.1,1,0.1,1
60,2,2,0,1,0,0,0.1,1
60,1,1,1,1,0,0,0,0
60,1,1,1,1,0,0,1,1
60,2,2,0,2,0,0,0,0
60,3,3,1,2,0,1,-1,0
60,4,4,0,2,0,1,-0.1,0
60,3,3,1,2,-1,0,-1,0
60,3,3,1,1,-1,0,0,1
60,4,4,0,2,0,1,0,1
60,2,2,0,1,0,0,0.1,1
60,4,4,0,2,0,1,-0.1,0
60,1,1,1,2,0,0,1,1
60,3,3,1,2,0,1,-1,0
60,2,2,0,2,0.1,1,0.1,1
60,4,4,0,2,-0.1,0,-0.1,0
60,3,3,1,1,-1,0,0,1
60,3,3,1,2,-1,0,0,1
60,1,1,1,2,1,1,0,0
60,1,1,1,1,0,0,1,1
60,2,2,0,2,0.1,1,0,0
60,1,1,1,2,1,1,0,0
60,2,2,0,2,0,0,0,0
60,4,4,0,2,0,1,-0.1,0
60,6,2,1,1,0.1,1,0.1,1
60,5,1,0,2,1,1,0,0
60,6,2,1,1,0,0,0.1,1
60,7,3,0,1,-1,0,0,1
60,7,3,0,2,0,1,-1,0
60,5,1,0,2,0,0,1,1
60,6,2,1,1,0,0,0.1,1
60,8,4,1,2,0,1,-0.1,0
60,8,4,1,1,-0.1,0,0,1
60,5,1,0,2,1,1,0,0
60,7,3,0,1,-1,0,-1,0
60,7,3,0,1,0,1,0,1
60,5,1,0,2,1,1,0,0
60,8,4,1,1,0,1,0,1
60,8,4,1,1,-0.1,0,-0.1,0
60,6,2,1,1,0,0,0,0
60,8,4,1,2,0,1,-0.1,0
60,5,1,0,2,1,1,0,0
60,7,3,0,1,0,1,0,1
60,7,3,0,1,-1,0,0,1
60,5,1,0,2,1,1,1,1
60,6,2,1,1,0,0,0.1,1
60,6,2,1,1,0,0,0.1,1
60,8,4,1,2,0,1,-0.1,0
60,6,2,1,1,0.1,1,0.1,1
60,8,4,1,1,-0.1,0,0,1
60,6,2,1,1,0,0,0,0
60,7,3,0,2,0,1,-1,0
60,5,1,0,2,0,0,0,0
60,5,1,0,2,1,1,0,0
60,7,3,0,2,-1,0,-1,0
60,8,4,1,2,-0.1,0,0,1
60,8,4,1,2,0,1,-0.1,0
60,7,3,0,2,0,1,-1,0
60,6,2,1,1,0,0,0,0
60,8,4,1,2,0,1,0,1
60,5,1,0,2,1,1,0,0
60,6,2,1,1,0,0,0.1,1
60,8,4,1,2,0,1,-0.1,0
60,5,1,0,2,1,1,0,0
60,5,1,0,2,1,1,0,0
60,8,4,1,2,-0.1,0,-0.1,0
60,7,3,0,1,-1,0,0,1
60,7,3,0,1,0,1,-1,0
60,6,2,1,1,0,0,0.1,1
60,6,2,1,1,0.1,1,0.1,1
60,7,3,0,2,0,1,-1,0
60,5,1,0,2,0,0,1,1
60,7,3,0,2,0,1,-1,0
60,5,1,0,2,1,1,0,0
60,5,1,0,2,1,1,0,0
60,7,3,0,2,-1,0,-1,0
60,8,4,1,2,0,1,-0.1,0
60,6,2,1,1,0,0,0.1,1
60,6,2,1,1,0,0,0.1,1
60,8,4,1,2,-0.1,0,-0.1,0
60,6,2,1,1,0,0,0.1,1
60,6,2,1,1,0.1,1,0,0
60,8,4,1,2,0,1,0,1
60,8,4,1,2,0,1,-0.1,0
60,5,1,0,2,0,0,0,0
60,7,3,0,2,0,1,0,1
60,5,1,0,2,1,1,1,1
